De ref,school name,address 1,town,postcode,school type,management type,constituency,council,rural     ,total enrolment,male,female,fsme,free school meals,Protestant,% Protestant,Catholic,% Catholic,Other Christian / non-Christian / no religion / unknown,% Other Christian / non-Christian / no religion / unknown
2016395,Gortin Primary School,9 CULVACULLION ROAD,OMAGH,BT798QB,Primary,Controlled,WEST TYRONE,FERMANAGH AND OMAGH,Rural,54,26,28,7,13.00%,44,81.5,*,*,#,#
2016426,Limavady Central Primary School,57 SCROGGY ROAD,LIMAVADY,BT490NB,Primary,Controlled,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban,422,215,207,180,42.70%,331,78.4,20,4.7,71,16.8
2016442,Sion Mills Primary School,WEST VIEW TERRACE,STRABANE,BT829HP,Primary,Controlled,WEST TYRONE,DERRY CITY AND STRABANE,Rural,260,138,122,93,35.80%,75,28.8,181,69.6,4,1.5
2016564,Fountain Primary School,18 HAWKIN STREET,LONDONDERRY,BT486RE,Primary,Controlled,FOYLE,DERRY CITY AND STRABANE,Urban,113,59,54,76,67.30%,102,90.3,5,4.4,6,5.3
2016645,Bready Jubilee Primary School,12 CLOUGHBOY ROAD,STRABANE,BT820DN,Primary,Controlled,WEST TYRONE,DERRY CITY AND STRABANE,Rural,131,72,59,39,29.80%,89,67.9,*,*,#,#
2016656,Drumrane Primary School,286 DRUMRANE ROAD,LONDONDERRY,BT474NL,Primary,Controlled,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,132,71,61,43,32.60%,125,94.7,0,0,7,5.3
2016663,Cooley Primary School,90 COOLEY ROAD,OMAGH,BT799DH,Primary,Controlled,WEST TYRONE,FERMANAGH AND OMAGH,Rural,137,69,68,31,22.60%,120,87.6,11,8,6,4.4
2016700,Gaelscoil NeAchitain,8 Chapel Road,LONDONDERRY,BT474RF,Primary,Controlled,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,93,47,46,34,36.60%,0,0,92,98.9,1,1.1
2016701,Ardstraw Jubilee Primary School,DEERPARK ROAD,OMAGH,BT784LA,Primary,Controlled,WEST TYRONE,DERRY CITY AND STRABANE,Rural,85,44,41,22,25.90%,63,74.1,0,0,22,25.9
2030364,Rosemount Primary School,18 HELEN STREET,LONDONDERRY,BT489DD,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,346,164,182,152,43.90%,*,*,#,#,*,*
2030373,Nazareth House Primary School,BISHOP STREET,LONDONDERRY,BT486UN,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,253,139,114,114,45.10%,0,0,252,99.6,1,0.4
2030381,"Holy Child Primary School, Londonderry",4 CENTRAL DRIVE,LONDONDERRY,BT489QQ,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,256,115,141,203,79.30%,0,0,256,100,0,0
2031828,"St Patrick's Primary School, Mullanaskea",MULLINASKEA,ENNISKILLEN,BT943AD,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,207,110,97,34,16.40%,0,0,201,97.1,6,2.9
2031863,Tattygar Primary School,6 TATTYGARE ROAD,ENNISKILLEN,BT945GT,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,75,38,37,20,26.70%,*,*,#,#,0,0
2031868,"St Tierney's Primary School, Roslea",8 ESHNADARRAGH ROAD,ENNISKILLEN,BT927JS,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,107,42,65,31,29.00%,0,0,107,100,0,0
2031869,"St Mary's Primary School, Newtownbutler",1 LANDBROCK ROAD,ENNISKILLEN,BT928JJ,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,180,102,78,64,35.60%,*,*,#,#,*,*
2031874,"St Patrick's Primary School, Derrygonnelly",TONNAGH ROAD,ENNISKILLEN,BT936LR,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,123,66,57,39,31.70%,0,0,117,95.1,6,4.9
2031876,"St Mary's Primary School, Brookeborough",18 TEIGES HILL ROAD,ENNISKILLEN,BT944HY,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,57,30,27,22,38.60%,0,0,57,100,0,0
2031880,"St Ninnidh's Primary School, Derrylin",54 MAIN STREET,ENNISKILLEN,BT929JZ,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,133,69,64,39,29.30%,*,*,#,#,0,0
2031884,"St Mary's Primary School, Killesher",120 TIRAVALLY ROAD,ENNISKILLEN,BT923ET,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,81,38,43,13,16.00%,0,0,80,98.8,1,1.2
2031887,"St John the Baptist Primary School, Enniskillen",38 ROSCOR LANE,ENNISKILLEN,BT933DP,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,46,24,22,12,26.10%,*,*,#,#,0,0
2031890,"St Mary's Primary School, Mullymesker",70 ARNEY ROAD,ENNISKILLEN,BT922AB,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,132,71,61,32,24.20%,0,0,130,98.5,2,1.5
2031895,"St Mary's Primary School, Maguiresbridge",9 LISNAGOLE ROAD,ENNISKILLEN,BT944RG,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,95,36,59,33,34.70%,0,0,94,98.9,1,1.1
2031897,Killyhommon Primary School,51 AGHAHERRISH ROAD,ENNISKILLEN,BT748BZ,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,73,41,32,16,21.90%,*,*,#,#,*,*
2031898,"St Paul's Primary School, Irvinestown",7 LISNARICK ROAD,ENNISKILLEN,BT941EY,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,231,117,114,60,26.00%,9,3.9,220,95.2,2,0.9
2031901,"St Ronan's Primary School, Lisnaskea",34 NUTFIELD ROAD,ENNISKILLEN,BT920LA,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,359,184,175,97,27.00%,0,0,355,98.9,4,1.1
2032212,Glendermott Primary School,50 ARDMORE ROAD,LONDONDERRY,BT473QZ,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Rural,154,75,79,56,36.40%,*,*,149,96.8,*,*
2032263,"St Canice's Primary School, Feeny",34 GLENEDRA ROAD,LONDONDERRY,BT474TW,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,116,62,54,32,27.60%,0,0,116,100,0,0
2032278,Broadbridge Primary School,3 COOLAFINNY ROAD,LONDONDERRY,BT473PG,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Rural,431,231,200,85,19.70%,*,*,412,95.6,#,#
2032286,"St Matthew's Primary School, Limavady",296 DRUMSURN ROAD,LIMAVADY,BT490PX,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,83,38,45,34,41.00%,0,0,82,98.8,1,1.2
2032287,Termoncanice Primary School,1 RATHBRADY ROAD,LIMAVADY,BT499BH,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban,528,272,256,201,38.10%,*,*,523,99.1,*,*
2032294,"St Mary's Primary School, Altinure",70 MONADORE ROAD,LONDONDERRY,BT474DP,Primary,Catholic Maintained,EAST LONDONDERRY,DERRY CITY AND STRABANE,Rural,165,84,81,35,21.20%,0,0,165,100,0,0
2032300,Listress Primary School,71 SLAGHTMANUS ROAD,LONDONDERRY,BT473EY,Primary,Catholic Maintained,EAST LONDONDERRY,DERRY CITY AND STRABANE,Rural,23,14,9,14,60.90%,0,0,23,100,0,0
2032473,Magheralough Primary School,48 MAGHERALOUGH ROAD,OMAGH,BT783SZ,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,23,10,13,7,30.40%,0,0,22,95.7,1,4.3
2032573,"St Brigid's Primary School, Altamuskin",114 ALTAMUSKIN ROAD,OMAGH,BT799JA,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,58,36,22,7,12.10%,0,0,58,100,0,0
2032603,Tummery Primary School,118 NEWPARK ROAD,OMAGH,BT783JZ,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,44,26,18,17,38.60%,0,0,44,100,0,0
2032607,"St Mary's Primary School, Killyclogher",122 OLD MOUNTFIELD ROAD,OMAGH,BT797LT,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Urban,388,183,205,122,31.40%,*,*,#,#,*,*
2032612,"St Matthew's Primary School, Garvaghey",70 RAROGAN ROAD,DUNGANNON,BT702DY,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,27,14,13,14,51.90%,0,0,27,100,0,0
2032628,Knocknagor Primary School,78 MOORFIELD ROAD,OMAGH,BT783TX,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,68,32,36,20,29.40%,0,0,68,100,0,0
2032639,Drumduff Primary School,47 BRACKEY ROAD,OMAGH,BT799PH,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,46,26,20,9,19.60%,0,0,46,100,0,0
2032662,"St Brigid's Primary School, Mountfield",4 LENAGH ROAD,OMAGH,BT797PT,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,38,21,17,19,50.00%,0,0,35,92.1,3,7.9
2032676,"St Patrick's Primary School, Gortin",90 MAIN STREET,OMAGH,BT798PU,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,83,40,43,20,24.10%,0,0,82,98.8,1,1.2
2032677,Drumlish Primary School,109 CAMDERRY ROAD,OMAGH,BT783BJ,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,62,31,31,8,12.90%,0,0,62,100,0,0
2032682,"St Eugene's Primary School, Victoria Bridge",58 FYFIN ROAD,STRABANE,BT829JH,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Rural,62,29,33,24,38.70%,*,*,#,#,*,*
2032683,"St Joseph's Primary School, Glenmornan",82 MOORLOUGH ROAD,STRABANE,BT820ER,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Rural,38,18,20,13,34.20%,0,0,38,100,0,0
2032684,St Lawrence's Primary School,7 TATTYMOYLE ROAD,OMAGH,BT782NR,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,262,150,112,83,31.70%,0,0,262,100,0,0
2032685,"St Brigid's Primary School, Cranagh",223 GLENELLY ROAD,OMAGH,BT798LR,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Rural,22,9,13,*,,0,0,22,100,0,0
2032688,"St Eugene's Primary School, Tyrcur",40 DUNBREEN VIEW ROAD,OMAGH,BT797SN,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,31,14,17,7,22.60%,0,0,30,96.8,1,3.2
2032694,St Caireall's Primary School,36 TRIENAMONGAN ROAD,CASTLEDERG,BT817XF,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Rural,92,48,44,23,25.00%,0,0,92,100,0,0
2032700,"St Joseph's Primary School, Drumquin",32 OMAGH ROAD,OMAGH,BT784QY,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,136,70,66,29,21.30%,0,0,136,100,0,0
2032704,Recarson Primary School,68 ARVALEE ROAD,OMAGH,BT790NE,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,106,55,51,18,17.00%,0,0,106,100,0,0
2032705,"St Patrick's Primary School, Eskra",171 NEWTOWNSAVILLE ROAD,OMAGH,BT782RJ,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,95,47,48,19,20.00%,0,0,95,100,0,0
2032721,"Sacred Heart Primary School, Tattyreagh",6 LETFERN AVENUE,OMAGH,BT781LA,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,80,44,36,13,16.30%,*,*,#,#,*,*
2032722,Altishane Primary School,139 DUNNYBOE ROAD,STRABANE,BT820RE,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Rural,16,5,11,7,43.80%,0,0,16,100,0,0
2032723,Roscavey Primary School,136 CLOGHERNY ROAD,OMAGH,BT790RE,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,58,36,22,9,15.50%,0,0,56,96.6,2,3.4
2032724,Loughash Primary School,53 AGHAFAD ROAD,STRABANE,BT820QG,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Rural,37,20,17,5,13.50%,0,0,37,100,0,0
2032730,"St Columba's Primary School, Clady",86 BELLSPARK ROAD,STRABANE,BT829QY,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Rural,149,70,79,42,28.20%,0,0,149,100,0,0
2032731,"St Teresa's Primary School, Loughmacrory",166 LOUGHMACRORY ROAD,OMAGH,BT799LG,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,157,85,72,43,27.40%,0,0,157,100,0,0
2032737,"St Columbkille's Primary School, Carrickmore",2 ROCKSTOWN ROAD,OMAGH,BT799BE,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,330,189,141,81,24.50%,0,0,330,100,0,0
2033706,Faughanvale Primary School,3 VALE ROAD,LONDONDERRY,BT473EE,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,197,105,92,80,40.60%,0,0,195,99,2,1
2033707,Mullabuoy Primary School,60 LETTERSHENDONY AVENUE,LONDONDERRY,BT473HZ,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Rural,82,42,40,42,51.20%,0,0,82,100,0,0
2033708,St Aidan's Primary School Magilligan,552 SEACOAST ROAD,LIMAVADY,BT490LL,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,63,33,30,18,28.60%,0,0,63,100,0,0
2036008,"St Patrick's Primary School, Newtownstewart",59 DUBLIN STREET,OMAGH,BT784AQ,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Rural,126,68,58,74,58.70%,0,0,124,98.4,2,1.6
2036032,"St John's Primary School, Bligh's Lane",BLIGH'S LANE,LONDONDERRY,BT489PJ,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,563,289,274,382,67.90%,0,0,563,100,0,0
2036045,"St Canice's Primary School, Dungiven",11 CURRAGH ROAD,LONDONDERRY,BT474SE,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,326,151,175,129,39.60%,0,0,326,100,0,0
2036069,"St Anne's Primary School, Derry",32-40 UPPER NASSAU STREET,LONDONDERRY,BT480EY,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,501,239,262,206,41.10%,0,0,501,100,0,0
2036070,"St Joseph's Primary School, Ederney",12 ARDVARNEY ROAD,ENNISKILLEN,BT930HA,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,154,96,58,34,22.10%,*,*,#,#,*,*
2036082,"St Colmcilles Primary School, Claudy",23 MAIN STREET,LONDONDERRY,BT474HR,Primary,Catholic Maintained,EAST LONDONDERRY,DERRY CITY AND STRABANE,Rural,263,136,127,88,33.50%,*,*,258,98.1,*,*
2036084,Steelstown Primary School,40 STEELSTOWN ROAD,LONDONDERRY,BT488EX,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,376,202,174,248,66.00%,0,0,371,98.7,5,1.3
2036085,St Peter's & St Paul's Primary School,296 FOREGLEN ROAD,LONDONDERRY,BT474PJ,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,42,27,15,13,31.00%,0,0,40,95.2,2,4.8
2036090,"St Naile's Primary School, Kinawley",5 CORRAMEEN ROAD,ENNISKILLEN,BT924FJ,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,95,53,42,31,32.60%,0,0,95,100,0,0
2036094,"St Patrick's Primary School, Castlederg",73 CASTLEFIN ROAD,CASTLEDERG,BT817EE,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Rural,320,157,163,117,36.60%,0,0,310,96.9,10,3.1
2036095,"St Mary's Primary School, Cloughcor",20 CLOUGHCOR ROAD,STRABANE,BT820BE,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Rural,183,100,83,58,31.70%,*,*,#,#,0,0
2036097,"St Peter's Primary School, Plumbridge",415 LISNARAGH ROAD,OMAGH,BT798AF,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Rural,77,43,34,23,29.90%,0,0,77,100,0,0
2036105,St Martin's Primary School,32 BROLLAGH ROAD,ENNISKILLEN,BT934AE,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,91,50,41,23,25.30%,*,*,#,#,*,*
2036107,"St Joseph's Primary School, Lisnaskea",400 DERNAWILT ROAD,ENNISKILLEN,BT925BE,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,94,49,45,25,26.60%,0,0,94,100,0,0
2036116,"St Conor's Primary School, Omagh",109 BROOKMOUNT ROAD,OMAGH,BT785JQ,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Urban,438,216,222,141,32.20%,*,*,427,97.5,#,#
2036142,"St Brigid's Primary School, Carnhill",3 GLENGALLIAGH ROAD,LONDONDERRY,BT488BZ,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,363,177,186,249,68.60%,0,0,363,100,0,0
2036143,"St Oliver Plunkett Primary School, Strathfoyle",28 PARKMORE DRIVE,LONDONDERRY,BT476XA,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Rural,222,108,114,125,56.30%,*,*,#,#,*,*
2036149,"St Finlough's Primary School, Sistrakeel",138 TARTNAKELLY ROAD,LIMAVADY,BT499JL,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,79,41,38,23,29.10%,*,*,74,93.7,*,*
2036153,St Scire's Primary School,2 EFFERNAN ROAD,OMAGH,BT783RB,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,118,63,55,24,20.30%,*,*,#,#,0,0
2036181,"St Mary's Primary School, Teemore",121 TEEMORE ROAD,ENNISKILLEN,BT929QF,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,92,44,48,18,19.60%,*,*,#,#,*,*
2036186,"St Dympna's Primary School, Dromore,",2 OLD CREAMERY ROAD,OMAGH,BT783GA,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,205,96,109,62,30.20%,0,0,197,96.1,8,3.9
2036187,"St John's Primary School, Dernaflaw",432 FOREGLEN ROAD,LONDONDERRY,BT474PN,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,131,71,60,45,34.40%,0,0,131,100,0,0
2036213,"St Columban's Primary School, Belcoo",66 LATTONE ROAD,ENNISKILLEN,BT935DS,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,103,58,45,28,27.20%,*,*,#,#,*,*
2036227,"St Paul's Primary School, Slievemore",7 MOSS ROAD,LONDONDERRY,BT488JZ,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,165,83,82,122,73.90%,0,0,163,98.8,2,1.2
2036247,"St Columba's Primary School, Newbuildings",2 DUNCASTLE ROAD,LONDONDERRY,BT472QS,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Rural,63,33,30,11,17.50%,0,0,62,98.4,1,1.6
2036258,"St Davog's Primary School, Belleek",14 BOA ISLAND ROAD,ENNISKILLEN,BT933FJ,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,96,45,51,40,41.70%,0,0,95,99,1,1
2036259,"Sacred Heart Primary School, Trench Road",10 TRENCH ROAD,LONDONDERRY,BT472DT,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,397,214,183,184,46.30%,*,*,#,#,0,0
2036288,Good Shepherd Primary School,42 DUNGIVEN ROAD,LONDONDERRY,BT476BW,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,436,208,228,109,25.00%,*,*,393,90.1,#,#
2036291,"St Oliver Plunkett Primary School, Beragh",9 LARAGH ROAD,OMAGH,BT790TH,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,104,49,55,25,24.00%,0,0,104,100,0,0
2036356,"St Mary's Primary School, Tempo",28 EDENMORE LANE,ENNISKILLEN,BT943HU,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,126,60,66,35,27.80%,0,0,126,100,0,0
2036387,"St Patrick's Primary School, Donemana",49 LISNARAGH ROAD,STRABANE,BT820QN,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Rural,36,12,24,12,33.30%,0,0,36,100,0,0
2036415,"Our Lady of Lourdes Primary School, Omagh",279 CROCKANBOY ROAD,OMAGH,BT797QP,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,114,60,54,32,28.10%,0,0,114,100,0,0
2036449,"Christ The King Primary School, Omagh",34 GORTIN ROAD,OMAGH,BT797HX,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Urban,202,104,98,138,68.30%,0,0,201,99.5,1,0.5
2036458,"St Mary?s Primary School, Gortnaghey",85 GORTNAGHEY ROAD,LONDONDERRY,BT474PZ,Primary,Catholic Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Rural,71,36,35,26,36.60%,0,0,71,100,0,0
2036459,"St Theresa's Primary School, Glebe",GARVAN ROAD,STRABANE,BT829NZ,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Rural,101,39,62,52,51.50%,0,0,101,100,0,0
2036461,"St Therese's Primary School, Lenamore",1 HEATHER ROAD EAST,LONDONDERRY,BT488NX,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,366,190,176,282,77.00%,*,*,#,#,*,*
2036465,Chapel Road Primary School,KNOCKDARA PARK,LONDONDERRY,BT472BD,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,207,96,111,94,45.40%,5,2.4,199,96.1,3,1.4
2036472,"Holy Family Primary School, Ballymagroarty",3 AILEACH ROAD,LONDONDERRY,BT480AZ,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,491,234,257,307,62.50%,0,0,490,99.8,1,0.2
2036473,"St Eithne's Primary School, Ballymagroarty",26 SPRINGTOWN ROAD,LONDONDERRY,BT480LT,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,418,222,196,212,50.70%,0,0,417,99.8,1,0.2
2036475,Longtower Primary School,59 LONGTOWER STREET,LONDONDERRY,BT486QQ,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,269,123,146,174,64.70%,0,0,265,98.5,4,1.5
2036533,Hollybush Primary School,10 ARDAN ROAD,LONDONDERRY,BT488JN,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Rural,450,235,215,56,12.40%,0,0,442,98.2,8,1.8
2036555,"St Eugene's Primary School, Londonderry",4 FRANCIS STREET,LONDONDERRY,BT487DS,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,163,82,81,93,57.10%,*,*,157,96.3,#,#
2036557,All Saints Primary School,42 TATTYSALLAGH ROAD,OMAGH,BT785BR,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Rural,110,57,53,32,29.10%,0,0,110,100,0,0
2036574,Bunscoil Cholmcille,40A STEELSTOWN ROAD,LONDONDERRY,BT488EX,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,108,55,53,61,56.50%,0,0,107,99.1,1,0.9
2036581,"St Patrick's Primary School, Pennyburn",1A COLLON LANE,LONDONDERRY,BT488QG,Primary,Catholic Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,867,435,432,307,35.40%,0,0,865,99.8,2,0.2
2036632,"Holy Trinity Primary School, Enniskillen",39 DERRIN ROAD,ENNISKILLEN,BT746AZ,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Urban,705,366,339,270,38.30%,8,1.1,667,94.6,30,4.3
2036659,"St Macartan's Primary School, Roslea",LACKY ROAD,ROSLEA,BT927NQ,Primary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,121,62,59,28,23.10%,0,0,121,100,0,0
2036674,"Holy Family Primary School, Omagh",BROOKMOUNT ROAD,OMAGH,BT785HZ,Primary,Catholic Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Urban,384,174,210,106,27.60%,0,0,381,99.2,3,0.8
2036696,"St Mary's Primary School, Strabane",44 MELMOUNT ROAD,STRABANE,BT829EF,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Urban,745,385,360,309,41.50%,0,0,744,99.9,1,0.1
2036703,St Catherine?s Primary School,C/O PAROCHIAL HOUSE,STRABANE,BT828HD,Primary,Catholic Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Urban,500,233,267,287,57.40%,0,0,500,100,0,0
2046638,Gaelscoil U? Dhochartaigh,115A BALLYCOLMAN ESTATE,STRABANE,BT829AQ,Primary,Other Maintained,WEST TYRONE,DERRY CITY AND STRABANE,Urban,170,90,80,84,49.40%,0,0,170,100,0,0
2046646,Gaelscoil Eadain Mhoir,128 LECKY ROAD,LONDONDERRY,BT486NP,Primary,Other Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,149,71,78,71,47.70%,0,0,143,96,6,4
2046669,Bunscoil an Traonaigh,10A DRUMBRUGHAS NORTH ROAD,LISNASKEA,BT920PE,Primary,Other Maintained,FERMANAGH AND SOUTH TYRONE,FERMANAGH AND OMAGH,Rural,44,22,22,19,43.20%,0,0,41,93.2,3,6.8
2046677,Gaelscoil na gCrann,DUN ULADH CULTURAL HERITAGE CENTRE,OMAGH,BT790GZ,Primary,Other Maintained,WEST TYRONE,FERMANAGH AND OMAGH,Urban,157,65,92,62,39.50%,0,0,151,96.2,6,3.8
2046687,Gaelscoil na Daroige,12 COSHQUIN ROAD,LONDONDERRY,BT480ND,Primary,Other Maintained,FOYLE,DERRY CITY AND STRABANE,Urban,66,34,32,32,48.50%,0,0,37,56.1,29,43.9
2046689,Gaelscoil Leim an Mhadaidh,57 CHURCH STREET,LIMAVADY,BT490BX,Primary,Other Maintained,EAST LONDONDERRY,CAUSEWAY COAST AND GLENS,Urban,82,41,41,23,28.00%,0,0,82,100,0,0
