"Reference","Institution_Name","Address_1","Address_2","Address_3","Town_Name","County_Name","Postcode","Telephone","Email","Institution_Type","Management_Type","Latitude","Longitude","Irish_Grid_Reference_X","Irish_Grid_Reference_Y","Current_Approved_Enrolment","Current_Approved_Admissions","Latest_Year_Data","Primary_Reception_Pupil","Number_Year_1","Number_Year_2","Number_Year_3","Number_Year_4","Number_Year_5","Number_Year_6","Number_Year_7","Number_Year_8","Number_Year_9","Number_Year_10","Number_Year_11","Number_Year_12","Number_Year_13","Number_Year_14","Number_Year_15","Number_of_FTE_Staff","Pupil_Teacher_Ratio"
"2BB0448","Drumahoe Community Playgroup","C/O Drumahoe Primary School","31 Drumahoe Road","Drumahoe","LONDONDERRY","LONDONDERRY","BT47 3SD","7513853483","","VP Pre-schools","Other","54.97848","-7.27609","246400","414791","","","2015","","","","","","","","","","","","","","","","","",""
"2012227","Drumahoe Primary School","31 DRUMAHOE ROAD","DRUMAHOE","","LONDONDERRY","LONDONDERRY","BT47 3SD","028 7130 2284","info@drumahoe.londonderry.ni.sch.uk","Primary school","Controlled","54.97848","-7.27609","246400","414791","290","41","2015","0","56","38","42","44","40","30","41","","","","","","","","","13.05","22.3"
"4BB0436","Drumaness Cross-Community Playgroup","9a Drumsnade Road","DRUMANESS","","BALLYNAHINCH","DOWN","BT24 8NG","07736156877 / 02897561971","","VP Pre-schools","Other","54.36196","-5.86302","338959","348026","","","2015","","","","","","","","","","","","","","","","","",""
"5230256","Drumcree College","4 MOY ROAD","","","PORTADOWN","ARMAGH","BT62 1QQ","028 3833 4725","info@drumcreecollege.portadown.ni.sch.uk","Secondary (non-grammar) school","Roman Catholic Maintained","54.4311","-6.46351","299761","354704","800","150","2015","","","","","","","","","33","34","39","45","30","0","0","0","19","9.53"
"2032639","Drumduff Primary School","47 BRACKEY ROAD","SIXMILECROSS","","OMAGH","TYRONE","BT79 9PH","028 8075 8977","info@drumduffps.omagh.ni.sch.uk","Primary school","Roman Catholic Maintained","54.5879","-7.15982","254366","371395","74","11","2015","0","7","5","12","2","8","8","3","","","","","","","","","3","15"
"5210231","Drumglass High School","24-38 CARLAND ROAD","","","DUNGANNON","TYRONE","BT71 4AA","028 8772 2421","info@drumglasshigh.dungannon.ni.sch.uk","Secondary (non-grammar) school","Controlled","54.51422","-6.77119","279633","363564","500","90","2015","","","","","","","","","69","40","65","53","62","0","0","0","20.4","14.17"
"5016080","Drumgor Primary School","DRUMGOR ROAD","BROWNLOW","","CRAIGAVON","ARMAGH","BT65 5BP","028 3834 1488","info@drumgor.craigavon.ni.sch.uk","Primary school","Controlled","54.44606","-6.37686","305345","356495","375","54","2015","0","35","39","37","41","32","35","17","","","","","","","","","12","24"
"5016027","Drumhillery Primary School","58 DRUMHILLERY ROAD","MIDDLETOWN","","ARMAGH","ARMAGH","BT60 3QB","028 3756 8725","info@drumhillery.armagh.ni.sch.uk","Primary school","Controlled","54.26904","-6.78521","279196","336257","111","16","2015","0","16","10","14","12","21","8","2","","","","","","","","","3.6","23.06"
"4066668","Drumlins Integrated Primary School","43 Lisburn Road","","","BALLYNAHINCH","DOWN","BT24 8TT","028 9756 3755","info@drumlinsps.ballynahinch.ni.sch.uk","Primary school","Grant Maintained Integrated","54.40934","-5.9096","335775","353208","174","25","2015","0","24","29","24","29","24","21","22","","","","","","","","","9","19.22"
"2032677","Drumlish Primary School","109 CAMDERRY ROAD","DROMORE","","OMAGH","TYRONE","BT78 3BJ","028 8289 8719","info@drumlishps.dromore.ni.sch.uk","Primary school","Roman Catholic Maintained","54.54445","-7.45381","235397","366371","51","7","2015","0","9","3","12","8","11","11","9","","","","","","","","","3.8","16.58"
"5136631","Drumnamoe Nursery School","58 LEVIN ROAD","","","LURGAN","ARMAGH","BT67 9EU","028 38329384","info@drumnamoens.craigavon.ni.sch.uk","Nursery school","Roman Catholic Maintained","54.47416","-6.32564","308593","359701","","","2015","","","","","","","","","","","","","","","","","3","26.33"
"2260283","Drumragh Integrated College","70 Crevenagh Road","","","OMAGH","TYRONE","BT79 0GW","028 8225 2440","info@drumraghcollege.omagh.ni.sch.uk","Secondary (non-grammar) school","Grant Maintained Integrated","54.58711","-7.27411","246978","371225","580","96","2015","","","","","","","","","107","102","104","109","108","65","54","0","41","15.83"
"2016656","Drumrane Primary School","286 Drumrane Road","Dungiven","","LONDONDERRY","LONDONDERRY","BT47 4NL","028 7774 1359","info@drumraneps.dungiven.ni.sch.uk","Primary school","Controlled","54.96749","-6.93683","268141","413845","116","17","2015","0","22","19","21","18","20","13","15","","","","","","","","","5.6","22.86"
"5011117","Drumsallen Primary School","1 DERNASIGH ROAD","KILLYLEA","","ARMAGH","ARMAGH","BT60 4PA","028 3754 8426","info@drumsallen.killylea.ni.sch.uk","Primary school","Controlled","54.37608","-6.76007","280624","348200","93","13","2015","2","5","0","1","4","6","3","9","","","","","","","","","2.57","11.67"
"3210208","Dunclug College","DOURY ROAD","","","BALLYMENA","ANTRIM","BT43 6SU","028 2565 3665","info@dunclugcollege.ballymena.ni.sch.uk","Secondary (non-grammar) school","Controlled","54.87893","-6.27633","310683","404831","810","140","2015","","","","","","","","","144","148","126","130","138","97","55","0","58.3","14.37"
"3116165","Dunclug Nursery School","95 DOURY ROAD","DUNCLUG","","BALLYMENA","ANTRIM","BT43 6SU","028 2564 4286","info@dunclugns.ballymena.ni.sch.uk","Nursery school","Controlled","54.8796","-6.27833","310553","404902","","","2015","","","","","","","","","","","","","","","","","2","26.25"
"3016063","Dunclug Primary School","DOURY ROAD","","","BALLYMENA","ANTRIM","BT43 6SU","028 2565 2327","info@dunclugps.ballymena.ni.sch.uk","Primary school","Controlled","54.87977","-6.27586","310711","404925","261","37","2015","0","10","3","9","12","10","10","13","","","","","","","","","3","22.33"
"1016242","Dundela Infants School","WILGAR STREET","","","BELFAST","ANTRIM","BT4 3BL","028 9047 1234","info@dundela.belfast.ni.sch.uk","Primary school","Controlled","54.59915","-5.8765","337286","374397","252","84","2015","0","83","82","81","0","0","0","0","","","","","","","","","14","21.29"
"4210262","Dundonald High School","764 UPPER NEWTOWNARDS ROAD","DUNDONALD","","BELFAST","ANTRIM","BT16 1TH","028 9048 4271","info@dundonald.belfast.ni.sch.uk","Secondary (non-grammar) school","Controlled","54.5966","-5.79028","342866","374285","600","120","2015","","","","","","","","","69","49","52","56","50","0","0","0","22.2","12.43"
"4011587","Dundonald Primary School","10 CHURCH GREEN","","","BELFAST","ANTRIM","BT16 2LP","028 9048 2680","info@ddps.belfast.ni.sch.uk","Primary school","Controlled","54.59156","-5.80484","341943","373694","780","116","2015","0","123","115","120","111","106","116","82","","","","","","","","","31.91","25.04"
"4AB0276","Dundrum Cross Community Playgroup","27a Main Street","Dundrum","","NEWCASTLE","DOWN","BT33 0LU","4375 1688","","VP Pre-schools","Other","54.26173","-5.84064","340755","336915","","","2015","","","","","","","","","","","","","","","","","",""
"3010558","Duneane Primary School","166 CHURCH ROAD","TOOMEBRIDGE","","ANTRIM","ANTRIM","BT41 3RD","028 7965 0854","info@duneaneps.toomebridge.ni.sch.uk","Primary school","Controlled","54.75083","-6.41475","302122","390362","80","11","2015","0","0","2","8","7","5","5","7","","","","","","","","","2.2","15.45"
"5116236","Dungannon Nursery School","CIRCULAR ROAD","","","DUNGANNON","TYRONE","BT71 6BE","028 8772 2689","info@dungannonns.dungannon.ni.sch.uk","Nursery school","Controlled","54.50994","-6.76395","280110","363096","","","2015","","","","","","","","","","","","","","","","","2","27"
"5012720","Dungannon Primary School","CIRCULAR ROAD","","","DUNGANNON","TYRONE","BT71 6BE","028 8772 2250","info@dungannonps.dungannon.ni.sch.uk","Primary school","Controlled","54.50935","-6.76255","280202","363031","223","32","2015","0","32","34","34","37","41","45","30","","","","","","","","","15.6","16.22"
"2AB0057","Dungiven Community Playgroup","42a Mitchel Park","Dungiven","","LONDONDERRY","LONDONDERRY","BT47 4LW","7774 1730","","VP Pre-schools","Other","54.93029","-6.92204","269152","409719","","","2015","","","","","","","","","","","","","","","","","",""
"3210222","Dunluce School","16 DUNLUCE ROAD","","","BUSHMILLS","ANTRIM","BT57 8QQ","028 2073 1448","info@dunluce.bushmills.ni.sch.uk","Secondary (non-grammar) school","Controlled","55.20553","-6.53122","293560","440813","550","110","2015","","","","","","","","","61","62","64","66","100","0","0","0","24.28","14.54"
"2012378","Dunmullan Primary School","42 DUNMULLAN ROAD","KNOCKMOYLE","","OMAGH","TYRONE","BT79 7TE","028 8224 7266","info@dunmullanps.omagh.ni.sch.uk","Primary school","Controlled","54.66583","-7.30553","244860","379967","78","11","2015","0","8","4","7","4","2","5","4","","","","","","","","","3","11.33"
"4010788","Dunmurry Primary School","GLENBURN ROAD","DUNMURRY","","BELFAST","ANTRIM","BT17 9AN","028 9030 1454","info@dunmurryps.belfast.ni.sch.uk","Primary school","Controlled","54.548","-6.00393","329213","368462","262","30","2015","0","29","30","30","24","22","18","22","","","","","","","","","9.02","21.07"
"5AB0404","Dunnaman Childrens Centre","37-39 Fearon Close","Scrogg Road","","KILKEEL","DOWN","BT34 4ER","4176 9249","dunnamancentre@hotmail.co.uk","VP Pre-schools","Other","54.06362","-6.02124","329606","314523","","","2015","","","","","","","","","","","","","","","","","",""
"3010726","Dunseverick Primary School","215 WHITEPARK ROAD","DUNSEVERICK","","BUSHMILLS","ANTRIM","BT57 8SR","028 2073 1600","info@dunseverickps.bushmills.ni.sch.uk","Primary school","Controlled","55.22594","-6.45539","298337","443190","166","24","2015","2","11","14","21","16","18","15","18","","","","","","","","","5.86","19.61"
"3016249","Earlview Primary School","2 MANSE DRIVE","NEW MOSSLEY","","NEWTOWNABBEY","ANTRIM","BT36 5US","028 9034 2203","info@earlviewps.newtownabbey.ni.sch.uk","Primary school","Controlled","54.68913","-5.95654","331822","384258","221","30","2015","0","31","26","31","28","29","28","19","","","","","","","","","10.37","21.02"
"3AA0108","Early Days Country Playgroup","67 Garryduff Road","Dunloy","","BALLYMONEY","ANTRIM","BT53 7DB","2766 6796","","VP Pre-schools","Other","55.05151","-6.47706","297382","423742","","","2015","","","","","","","","","","","","","","","","","",""
"4BB0172","Early Days Playgroup","Ballymagee Primary School","77 Ashbury Avenue","","BANGOR","DOWN","BT19 6ZG","7745279390","","VP Pre-schools","Other","54.64566","-5.63473","352734","380072","","","2015","","","","","","","","","","","","","","","","","",""
"1CA0411","Early Learners Day Nursery","30 Lower Windsor Avenue","","","BELFAST","ANTRIM","BT9 1DX","9068 2632","info@earlylearnersdaynursery.com","VP Pre-schools","Other","54.5797","-5.94826","332712","372094","","","2015","","","","","","","","","","","","","","","","","",""
"5AB0213","Earlybird Pre-School","Jenny's Row","","","ARMAGH","ARMAGH","BT61 9AP","0283751 0839 / 07780726502","earlybird2012@hotmail.co.uk","VP Pre-schools","Other","54.34873","-6.65263","287664","345284","","","2015","","","","","","","","","","","","","","","","","",""
"2010382","Ebrington Controlled Primary School","12 ULSTERVILLE AVENUE","WATERSIDE","","LONDONDERRY","LONDONDERRY","BT47 6EU","028 7134 3864","info@ebrington.londonderry.ni.sch.uk","Primary school","Controlled","54.99713","-7.30448","244562","416849","450","58","2015","0","56","52","60","64","56","48","56","","","","","","","","","18.4","24.13"
"3010785","Eden Primary School","LARNE ROAD","","","CARRICKFERGUS","ANTRIM","BT38 7NL","028 9335 1958","info@edenps.carrickfergus.ni.sch.uk","Primary school","Controlled","54.72849","-5.77508","343383","388994","213","30","2015","0","30","29","30","31","30","30","29","","","","","","","","","7.77","26.9"
"3010796","Eden Primary School","33 VOW ROAD","","","BALLYMONEY","ANTRIM","BT53 7PB","028 2766 3309","info@eden.ballymoney.ni.sch.uk","Primary school","Controlled","55.03063","-6.56329","291919","421301","95","15","2015","0","10","6","13","10","10","10","13","","","","","","","","","3.96","18.2"
"1010323","Edenbrooke Primary School","230 TENNENT STREET","","","BELFAST","ANTRIM","BT13 3GG","028 9035 1528","info@edenbrooke.belfast.ni.sch.uk","Primary school","Controlled","54.60966","-5.95421","332230","375418","408","58","2015","0","52","42","42","36","35","29","27","","","","","","","","","15.25","17.25"
"1110003","Edenderry Nursery School","4-22 UPPER RIGA STREET","","","BELFAST","ANTRIM","BT13 3GW","028 9023 8651","info@edenderryns.belfast.ni.sch.uk","Nursery school","Controlled","54.6054","-5.95585","332138","374940","","","2015","","","","","","","","","","","","","","","","","2","26"
"5110021","Edenderry Nursery School","PRINCESS WAY","","","PORTADOWN","ARMAGH","BT63 5EP","028 3833 6973","info@edenderryns.portadown.ni.sch.uk","Nursery school","Controlled","54.42269","-6.4159","302871","353836","","","2015","","","","","","","","","","","","","","","","","2","26"
"5011189","Edenderry Primary School","PRINCESS WAY","PORTADOWN","","CRAIGAVON","ARMAGH","BT63 5EP","028 3833 2816","info@edenderry.portadown.ni.sch.uk","Primary school","Controlled","54.42297","-6.41591","302870","353867","370","53","2015","0","58","57","46","66","49","55","47","","","","","","","","","18.85","20.05"
"5013019","Edenderry Primary School","1A LURGAN ROAD","","","BANBRIDGE","DOWN","BT32 4AF","028 4062 2082","info@edenderry.banbridge.ni.sch.uk","Primary school","Controlled","54.355","-6.26863","312615","346527","420","60","2015","0","50","50","56","58","60","63","70","","","","","","","","","19.05","21.37"
"5032585","Edendork Primary School","181 COALISLAND ROAD","","","DUNGANNON","TYRONE","BT71 4DP","028 8774 0534","info@edendork.dungannon.ni.sch.uk","Primary school","Roman Catholic Maintained","54.52954","-6.73795","281755","365307","320","46","2015","0","48","51","42","37","56","36","46","","","","","","","","","13","24.31"
"3230203","Edmund Rice College","96-100 HIGHTOWN ROAD","","","NEWTOWNABBEY","ANTRIM","BT36 7AU","028 9084 8433","info@edmundricecollege.glengormley.ni.sch.uk","Secondary (non-grammar) school","Roman Catholic Maintained","54.66655","-5.96845","331127","381723","600","120","2015","","","","","","","","","110","103","84","81","86","83","45","0","38.8","15.26"
"2012638","Edwards Primary School","26 HOSPITAL ROAD","","","CASTLEDERG","TYRONE","BT81 7HY","028 8167 1642","info@edwards.castlederg.ni.sch.uk","Primary school","Controlled","54.71104","-7.58981","226487","384856","203","29","2015","0","26","30","37","27","28","25","23","","","","","","","","","10","22.3"
"2AB0051","Eglinton Community Pre-School Centre","Unit 4 Benbow Estate","15 Killylane Road","Eglinton","LONDONDERRY","LONDONDERRY","BT47 3DW","2871814853","","VP Pre-schools","Other","55.02818","-7.16752","253286","420401","","","2015","","","","","","","","","","","","","","","","","",""
"2012245","Eglinton Primary School","22 WOODVALE ROAD","EGLINTON","","LONDONDERRY","LONDONDERRY","BT47 3AH","028 7181 0510","info@eglinton.londonderry.ni.sch.uk","Primary school","Controlled","55.02477","-7.18154","252394","420011","232","30","2015","0","25","21","29","32","26","31","27","","","","","","","","","8.62","23.96"
"1010255","Elmgrove Primary School","289 BEERSBRIDGE ROAD","","","BELFAST","ANTRIM","BT5 4RS","028 9045 7311","info@elmgrove.belfast.ni.sch.uk","Primary school","Controlled","54.5908","-5.89035","336419","373441","724","100","2015","0","95","88","80","97","89","94","96","","","","","","","","","36.09","19.12"
"2066549","Enniskillen Integrated Primary School","2 DERRYGORE ROAD DRUMCOO","","","ENNISKILLEN","FERMANAGH","BT74 4FH","028 6632 6799","info@enniskillenintegrated.enniskillen.ni.sch.uk","Primary school","Grant Maintained Integrated","54.35907","-7.64108","223383","345657","285","56","2015","0","41","58","47","49","32","33","31","","","","","","","","","13.62","22.32"
"2016152","Enniskillen Model Primary School","5 CASTLECOOLE ROAD","","","ENNISKILLEN","FERMANAGH","BT74 6HZ","028 6632 4865","info@enniskillenmodel.enniskillen.ni.sch.uk","Primary school","Controlled","54.34186","-7.6252","224425","343747","482","60","2015","0","62","64","62","60","65","61","63","","","","","","","","","17","25.71"
"2116608","Enniskillen Nursery","29B DUBLIN ROAD","","","ENNISKILLEN","FERMANAGH","BT74 6HH","028 6634 2694","info@enniskillenns.enniskillen.ni.sch.uk","Nursery school","Controlled","54.34285","-7.62889","224185","343856","","","2015","","","","","","","","","","","","","","","","","2.01","25.9"
"2012617","Erganagh Primary School","7 LISTYMORE ROAD","","","CASTLEDERG","TYRONE","BT81 7JG","028 8167 1357","info@erganagh.castlederg.ni.sch.uk","Primary school","Controlled","54.71816","-7.55202","228918","385663","107","15","2015","0","8","3","5","10","8","5","8","","","","","","","","","3","15.67"
"2260280","Erne Integrated College","5A DERRYGORE ROAD DRUMCOO","","","ENNISKILLEN","FERMANAGH","BT74 4FY","028 6632 5996","info@ernecollege.enniskillen.ni.sch.uk","Secondary (non-grammar) school","Grant Maintained Integrated","54.36125","-7.63835","223559","345901","400","70","2015","","","","","","","","","75","60","77","63","63","35","39","2","33.6","12.32"
"1010146","Euston Street Primary School","163 EUSTON STREET","","","BELFAST","ANTRIM","BT6 9AG","028 9045 7089","info@eustonstreet.belfast.ni.sch.uk","Primary school","Controlled","54.58806","-5.89842","335906","373120","359","51","2015","0","56","44","43","49","29","27","30","","","","","","","","","16","20.63"
"5016599","Fair Hill Primary School","4 TULLYNISKEY ROAD","DROMARA","","DROMORE","DOWN","BT25 2PJ","028 9753 3219","info@fairhill.kinallen.ni.sch.uk","Primary school","Controlled","54.3803","-6.0741","325184","349671","320","46","2015","0","47","46","41","49","40","44","42","","","","","","","","","13.8","24.28"
"3016414","Fairview Primary School","25 HILLMOUNT AVENUE","RASHEE ROAD","","BALLYCLARE","ANTRIM","BT39 9HS","028 9335 2094","info@fairviewps.ballyclare.ni.sch.uk","Primary school","Controlled","54.7547","-6.00974","328185","391457","525","75","2015","0","69","76","79","78","78","71","71","","","","","","","","","24.49","21.31"
"1016205","Fane Street Primary School","FANE STREET","","","BELFAST","ANTRIM","BT9 7BW","028 9038 1945","info@fanestreet.belfast.ni.sch.uk","Primary school","Controlled","54.58526","-5.94985","332591","372710","495","71","2015","0","30","30","29","35","31","18","27","","","","","","","","","15.56","14.78"
"2033706","Faughanvale Primary School","3 VALE ROAD","GREYSTEEL","","LONDONDERRY","LONDONDERRY","BT47 3EE","028 7181 0529","info@faughanvale.derry.ni.sch.uk","Primary school","Roman Catholic Maintained","55.03392","-7.10138","257507","421093","279","40","2015","0","20","36","31","28","25","33","26","","","","","","","","","7","28.43"
"1010806","Finaghy Primary School","38 FINAGHY ROAD SOUTH","","","BELFAST","ANTRIM","BT10 0DR","028 9061 2623","info@finaghy.belfast.ni.sch.uk","Primary school","Controlled","54.55943","-5.98179","330609","369776","465","66","2015","0","65","60","60","59","60","59","58","","","","","","","","","17.4","24.2"
"2AB0293","First Steps Children's Centre","1 Munie Road","Killen","","CASTLEDERG","TYRONE","BT81 7QJ","8167 9041","","VP Pre-schools","Other","54.67804","-7.62048","224530","381171","","","2015","","","","","","","","","","","","","","","","","",""
"4CA0612","First Steps Day Nursery","Ward 15","Lagan Valley Hospital","Hillsborough Road","LISBURN","ANTRIM","BT28 1JP","028 9262 9396","","VP Pre-schools","Other","54.50518","-6.04397","326755","363624","","","2015","","","","","","","","","","","","","","","","","",""
"4CA0638","First Steps Day Nursery","Ulster Hospital","Upper Newtownards Road","Dundonald","NEWTOWNARDS","DOWN","BT16 1RH","2890561316","","VP Pre-schools","Other","54.59582","-5.81262","341425","374153","","","2015","","","","","","","","","","","","","","","","","",""
"1AB0321","First Steps Playgroup","Horn Drive Community Centre","44a Horn Drive","","BELFAST","ANTRIM","BT11 9GS","7842669938","eilishmcc@googlemail.com","VP Pre-schools","Other","54.56961","-6.01041","328726","370856","","","2015","","","","","","","","","","","","","","","","","",""
"3AB0118","First Steps Playgroup","St Joseph's Early Years Centre","90 Doury Road","","BALLYMENA","ANTRIM","BT43 6JE","2565 0050","","VP Pre-schools","Other","54.88073","-6.28079","310392","405024","","","2015","","","","","","","","","","","","","","","","","",""
"5210097","Fivemiletown College","51 COLEBROOK ROAD","Corcreevy Demense","","FIVEMILETOWN","TYRONE","BT75 0SB","028 8952 1279","nfo@college.fivemiletown.ni.sch.uk","Secondary (non-grammar) school","Controlled","54.3759","-7.32289","244051","347683","425","69","2015","","","","","","","","","65","60","75","61","69","32","34","0","24.73","16.01"
"5116198","Fivemiletown Nursery School","166A BALLAGH ROAD","","","FIVEMILETOWN","TYRONE","BT75 0QP","028 8952 1530","info@fmtns.fivemiletown.ni.sch.uk","Nursery school","Controlled","54.37857","-7.31181","244768","347987","","","2015","","","","","","","","","","","","","","","","","1","27"
"5016088","Fivemiletown Primary School","166 BALLAGH ROAD","","","FIVEMILETOWN","TYRONE","BT75 0QP","028 8952 1456","info@fivemiletownps.fivemiletown.ni.sch.uk","Primary school","Controlled","54.37884","-7.31113","244812","348017","203","29","2015","0","27","37","26","24","32","18","23","","","","","","","","","9","20.78"
"1310012","Fleming Fulton Special School","35 UPPER MALONE ROAD","","","BELFAST","ANTRIM","BT9 6TY","028 9061 1917","info@ffs.belfast.ni.sch.uk","Special school","Controlled","54.55731","-5.96605","331634","369569","","","2015","","","","","","","","","","","","","","","","","23.72","4.85"
"2011881","Florencecourt Primary School","Drumlaghy Two","","","ENNISKILLEN","FERMANAGH","BT92 1BZ","028 6634 8225","info@florencecourt.enniskillen.ni.sch.uk","Primary school","Controlled","54.26583","-7.71574","218571","335256","116","17","2015","0","10","15","15","12","9","17","15","","","","","","","","","5.31","19.96"
"1AB0610","Flutterbies Playgroup","The Centre","Cregagh Methodist Church","","BELFAST","ANTRIM","BT6 9EQ","07800810982 / 02890457564","flutterbiespg@gmail.com","VP Pre-schools","Other","54.58459","-5.89857","335908","372734","","","2015","","","","","","","","","","","","","","","","","",""
"5010909","Foley County Primary School","60 BALLYMACNAB ROAD","TASSAGH","","ARMAGH","ARMAGH","BT60 2QS","028 3753 1564","info@foley.tassagh.ni.sch.uk","Primary school","Controlled","54.27581","-6.61327","290383","337217","147","21","2015","0","6","6","8","9","8","5","5","","","","","","","","","3","15.67"
"5AB0397","Forever Friends Cross-Community Playgroup","Gortgonis Citizen's Centre","2 Gortgonis Road","","COALISLAND","TYRONE","BT71 4QG","7719487741","foreverfriendspg@hotmail.co.uk","VP Pre-schools","Other","54.53562","-6.69604","284456","366033","","","2015","","","","","","","","","","","","","","","","","",""
"1BB0491","Forge Integrated Playgroup","20 Carolan Road","","","BELFAST","ANTRIM","BT7 3HE","7732988232","scherry156@c2kni.net","VP Pre-schools","Other","54.56922","-5.91808","334698","370985","","","2015","","","","","","","","","","","","","","","","","",""
"1056535","Forge Integrated Primary School","20 CAROLAN ROAD","","","BELFAST","ANTRIM","BT7 3HE","028 9049 2177","info@forge.belfast.ni.sch.uk","Primary school","Controlled Integrated","54.56922","-5.91808","334698","370985","340","60","2015","0","60","59","47","51","43","36","36","","","","","","","","","14.8","22.43"
"5AB0401","Forkhill Pre-School Playgroup","Community Centre","2 Bog Road","Forkhill","NEWRY","DOWN","BT35 9SZ","3088 8059","forkhillplaygroup@gmail.com","VP Pre-schools","Other","54.08498","-6.45563","301115","316191","","","2015","","","","","","","","","","","","","","","","","",""
"4250072","Fort Hill College","BELFAST ROAD","","","LISBURN","ANTRIM","BT27 4TL","028 9266 3670","info@forthill.lisburn.ni.sch.uk","Secondary (non-grammar) school","Controlled Integrated","54.51541","-6.03148","327532","364785","850","160","2015","","","","","","","","","159","120","146","150","149","69","61","0","63.16","13.52"
"4053308","Fort Hill Integrated Primary School","LOW ROAD","","","LISBURN","ANTRIM","BT27 4TJ","028 9266 4505","info@forthillips.lisburn.ni.sch.uk","Primary school","Controlled Integrated","54.51593","-6.03339","327407","364840","240","30","2015","0","29","28","28","31","31","31","30","","","","","","","","","9.92","23.58"
"1010205","Forth River Primary School","100 CAIRNMARTIN ROAD","","","BELFAST","ANTRIM","BT13 3PQ","028 9071 4890","info@forthriver.belfast.ni.sch.uk","Primary school","Controlled","54.61293","-5.97142","331108","375749","232","30","2015","0","30","28","30","29","30","31","30","","","","","","","","","9.6","21.66"
"2016564","Fountain Primary School","18 HAWKIN STREET","THE FOUNTAIN","","LONDONDERRY","LONDONDERRY","BT48 6RE","028 7137 4909","info@fountainps.londonderry.ni.sch.uk","Primary school","Controlled","54.99326","-7.32287","243389","416407","141","20","2015","0","17","13","15","11","10","5","10","","","","","","","","","5.4","19.81"
"3010891","Fourtowns Primary School","59 CULLYBACKEY ROAD","AHOGHILL","","BALLYMENA","ANTRIM","BT42 1LA","028 2587 1370","info@fourtownsps.ahoghill.ni.sch.uk","Primary school","Controlled","54.8542","-6.36705","304925","401938","290","41","2015","0","39","44","44","44","46","37","38","","","","","","","","","12.6","23.17"
"2420229","Foyle College","122 NORTHLAND ROAD","","","LONDONDERRY","LONDONDERRY","BT48 0AW","028 7126 9321","info@foylecollege.derry.ni.sch.uk","Secondary (grammar) school","Voluntary","55.01287","-7.33562","242552","418582","865","121","2015","","","","","","","","","125","121","127","122","121","102","104","0","52.6","15.63"
"4620050","Friend's School","6 MAGHERALAVE ROAD","","","LISBURN","ANTRIM","BT28 3BH","028 92669198","info@friends.lisburn.ni.sch.uk","Preparatory Schools","Voluntary","54.51717","-6.04595","326590","364955","","","2015","0","22","24","26","26","21","24","23","","","","","","","","","7.87","21.08"
"4420050","Friends' School","6 MAGHERALAVE ROAD","","","LISBURN","ANTRIM","BT28 3BH","028 9266 2156","info@friends.lisburn.ni.sch.uk","Secondary (grammar) school","Voluntary","54.51736","-6.04544","326622","364977","970","140","2015","","","","","","","","","143","144","142","146","140","132","141","1","59.74","16.55"
"1620022","Fullerton House Preparatory School","1 MALONE ROAD","","","BELFAST","ANTRIM","BT9 6BY","028 90205217","info@fullertonhouse.belfast.ni.sch.uk","Preparatory Schools","Voluntary","54.58388","-5.94271","333057","372570","","","2015","0","20","17","17","24","23","22","24","","","","","","","","","8.52","17.26"
"2240319","Gaelchol??iste Dhoire","Dungiven Castle","145 Main Street","Dungiven","LONDONDERRY","LONDONDERRY","BT47 4LF","028 7774 1015","info@gcd.doire.ni.sch.uk","Secondary (non-grammar) school","Other Maintained","54.92481","-6.92116","269218","409110","35","35","2015","","","","","","","","","15","0","0","0","0","0","0","0","3.6","4.17"
"3046653","Gaelscoil an Chaistil","5 BOTHAR AN HAITHE","","","BALLYCASTLE","ANTRIM","BT54 6QQ","028 2076 8883","info@bunscoilanchaistil.baileanchaistil.ni.sch.uk","Primary school","Other Maintained","55.19764","-6.25607","311098","440338","116","17","2015","0","17","14","17","11","7","6","11","","","","","","","","","7","15.43"
"1046672","Gaelscoil an Lonnain","61 Falls Road","Belfast","","BELFAST","ANTRIM","BT12 4PD","028 90 240241","info@gaelscoilanlonnain.belfast.ni.sch.uk","Primary school","Other Maintained","54.598","-5.95341","332320","374121","71","20","2015","0","11","9","14","9","4","3","4","","","","","","","","","4","13.5"
"3046691","Gaelscoil an tSeancha??","40 Meeting Street","","","MAGHERAFELT","LONDONDERRY","BT45 6BW","028 7930 0532","info@gaelscoilantseanchai.magherafelt.ni.sch.uk","Primary school","Other Maintained","54.75379","-6.60427","289913","390432","87","15","2015","0","21","18","16","17","11","8","8","","","","","","","","","7","17.86"
"5046695","Gaelscoil Aodha Rua","97 Donaghmore Road","","","DUNGANNON","TYRONE","BT70 1HD","028 877 53762","info@gaelscoilaodharua.dungannon.ni.sch.uk","Primary school","Other Maintained","54.50889","-6.77811","279195","362963","87","15","2015","0","22","19","18","20","9","0","0","","","","","","","","","4.6","19.13"
"2046646","Gaelscoil Eadain Mhoir","128 LECKY ROAD","","","LONDONDERRY","LONDONDERRY","BT48 6NP","028 7126 8020","info@gaelscoileadainmhoir.derry.ni.sch.uk","Primary school","Other Maintained","54.99263","-7.33075","242885","416331","145","21","2015","0","23","20","14","12","16","16","11","","","","","","","","","7.4","18.65"
