School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url
6653055,St Giles Controlled Primary School,665.0,Wrexham,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Madeira Hill ,Wrexham,,,LL13 7DG,01978318880,380.0,26.6,21.8,90.5,4584.0,,,,,,http://www.estyn.gov.wales/provider/6653055
6653301,BRONINGTON CHURCH IN WALES V.A,665.0,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,School Lane,Bronington,Whitchurch,Wrexham,SY13 3HN,01948780283,46.0,21.7,13.0,92.9,6943.0,,,,,,http://www.estyn.gov.wales/provider/6653301
6653305,Madras VA School,665.0,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Penley,Wrexham,,,LL13 0LU,01978710419,124.0,9.9,24.1,93.7,4655.0,,,,,,http://www.estyn.gov.wales/provider/6653305
6653326,St Chad's Church in Wales Aided School,665.0,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Hanmer,Whitchurch,Wrexham,,SY13 3DG,01948830238,101.0,13.6,19.9,95.5,4880.0,,,,,,http://www.estyn.gov.wales/provider/6653326
6653334,St Mary's RC Primary,665.0,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Lea Road,Wrexham,,,LL13 7NA,01978352406,359.0,9.7,24.9,93.7,4190.0,,,,,,http://www.estyn.gov.wales/provider/6653334
6653337,Minera,665.0,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Minera Hall Road,Minera,Wrexham,,LL11 3YE,01978269500,102.0,25.1,17.9,94.1,5405.0,,,,,,http://www.estyn.gov.wales/provider/6653337
6653338,All Saints Voluntary Aided Sch,665.0,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,School Hill,Gresford,Wrexham,,LL12 8RW,01978852342,343.0,7.8,26.0,94.5,4399.0,,,,,,http://www.estyn.gov.wales/provider/6653338
6653341,St Mary's Church in Wales,665.0,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Park Street,Ruabon,Wrexham,,LL14 6LE,01978820979,204.0,16.4,21.2,94.3,4307.0,,,,,,http://www.estyn.gov.wales/provider/6653341
6653342,Brymbo Aided (St. Mary's),665.0,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Ael y Bryn,Brymbo,Wrexham,,LL11 5DA,01978722970,131.0,42.4,16.0,92.1,5594.0,,,,,,http://www.estyn.gov.wales/provider/6653342
6653343,St Anne's Catholic Primary,665.0,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Prince Charles Road,Wrexham,,,LL13 8TH,01978261623,179.0,35.8,17.6,88.5,5211.0,,,,,,http://www.estyn.gov.wales/provider/6653343
6653346,St Mary's Overton,665.0,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,School Lane,Overton On Dee,Wrexham,,LL13 0ES,01978710370,154.0,8.4,18.3,94.6,4768.0,,,,,,http://www.estyn.gov.wales/provider/6653346
6653347,St Paul's Voluntary Aided,665.0,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Bowling Bank,Isycoed,Wrexham,,LL13 9RL,01978661556,35.0,20.2,15.2,94.6,7703.0,,,,,,http://www.estyn.gov.wales/provider/6653347
6654029,Grango,665.0,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Vinegar Hill,Rhos,Wrexham,,LL14 1EL,01978833010,575.0,31.0,16.8,86.5,5993.0,321.8,36.2,32.0,33.8,33.9,http://www.estyn.gov.wales/provider/6654029
6654032,YSGOL MORGAN LLWYD,665.0,Wrexham,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Ffordd Cefn,Wrecsam,,,LL13 9NG,01978315050,889.0,18.0,14.9,90.8,6020.0,360.5,41.3,38.8,39.2,36.8,http://www.estyn.gov.wales/provider/6654032
6654033,Ysgol Bryn Alyn,665.0,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Church Street,Gwersyllt,Wrexham,,LL11 4HB,01978720700,677.0,25.5,16.7,88.8,6051.0,387.7,40.1,38.8,38.3,37.6,http://www.estyn.gov.wales/provider/6654033
6654034,Darland High School,665.0,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Chester Road,Rossett,Wrexham,,LL12 0DL,01244570588,735.0,14.2,16.7,88.7,6389.0,363.1,42.5,41.7,41.9,32.2,http://www.estyn.gov.wales/provider/6654034
6654044,Ysgol Rhiwabon,665.0,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Ruabon,Wrexham,,,LL14 6BT,01978822392,519.0,23.2,18.0,88.2,5969.0,314.1,36.4,34.7,28.4,36.3,http://www.estyn.gov.wales/provider/6654044
6654048,Rhosnesni High School,665.0,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Rhosnesni Lane,Wrexham,,,LL13 9ET,01978340840,1082.0,26.1,19.2,87.0,5854.0,335.9,38.6,36.6,36.9,32.7,http://www.estyn.gov.wales/provider/6654048
6654049,Ysgol Clywedog,665.0,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Ruthin Road,Wrexham,,,LL13 7UB,01978346800,843.0,28.3,19.1,82.7,5922.0,299.4,32.6,32.5,32.1,24.2,http://www.estyn.gov.wales/provider/6654049
6654603,St Joseph's Catholic and Anglican High,665.0,Wrexham,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-16),Roman Catholic & Anglican,Sontley Road,Wrexham,,,LL13 7EN,01978360310,734.0,11.0,17.4,94.7,5913.0,398.7,44.6,41.8,42.5,45.0,http://www.estyn.gov.wales/provider/6654603
6655401,THE MAELOR SCHOOL,665.0,Wrexham,Secondary,Foundation,EM,English medium,Secondary (ages 11-19),---,Penley,Wrexham,,,LL13 0LU,01948830291,800.0,9.4,17.1,92.0,5921.0,399.4,41.5,41.6,44.6,44.3,http://www.estyn.gov.wales/provider/6655401
6657005,St Christophers School,665.0,Wrexham,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Stockwell Grove,Wrexham,,,LL13 7BW,01978346910,278.0,22860.0,,,,,,,,,http://www.estyn.gov.wales/provider/6657005
6662002,ABERMULE PRIMARY SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Abermule,Montgomery,Powys,,SY15 6ND,01686630240,83.0,10.6,23.0,92.4,4795.0,,,,,,http://www.estyn.gov.wales/provider/6662002
6662003,ARDDLEEN C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Arddleen,Llanymynech,Powys,,SY22 6RT,01938590445,115.0,4.5,24.0,95.5,3915.0,,,,,,http://www.estyn.gov.wales/provider/6662003
6662005,BERRIEW C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Berriew,Welshpool,Powys,,SY21 8BA,01686640312,99.0,5.7,21.7,95.4,4374.0,,,,,,http://www.estyn.gov.wales/provider/6662005
6662008,CAERSWS C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maesawelon,Caersws,Powys,,SY17 5HG,01686688458,74.0,13.3,21.8,93.9,5528.0,,,,,,http://www.estyn.gov.wales/provider/6662008
6662009,CARNO C.P. SCHOOL,666.0,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Carno,Y Drenewydd,Powys,,SY17 5LH,01686420209,43.0,9.0,18.4,95.4,5535.0,,,,,,http://www.estyn.gov.wales/provider/6662009
6662010,CARREGHOFA C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llanymynech,Powys,,,SY22 6PA,01691830396,102.0,7.9,19.9,95.0,4216.0,,,,,,http://www.estyn.gov.wales/provider/6662010
6662018,LEIGHTON C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Leighton,Welshpool,Powys,,SY21 8HH,01938553261,75.0,28.7,19.7,91.4,4727.0,,,,,,http://www.estyn.gov.wales/provider/6662018
6662019,YSGOL LLANBRYNMAIR,666.0,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanbrynmair,Powys,,,SY19 7DJ,01650521339,44.0,24.0,15.8,93.4,5750.0,,,,,,http://www.estyn.gov.wales/provider/6662019
6662020,LLANDINAM C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llandinam,Powys,,,SY17 5BY,01686688457,31.0,17.1,15.4,87.2,6636.0,,,,,,http://www.estyn.gov.wales/provider/6662020
6662033,MEIFOD C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Meifod,Powys,,,SY22 6DF,01938500300,61.0,12.3,17.8,93.8,5156.0,,,,,,http://www.estyn.gov.wales/provider/6662033
6662040,PENYGLODDFA C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Lane,,,Newtown,SY16 2DF,01686626715,272.0,14.7,21.9,94.1,4007.0,,,,,,http://www.estyn.gov.wales/provider/6662040
6662041,PONTROBERT C.P. SCHOOL,666.0,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Meifod,Powys,,,SY22 6JN,01938500394,66.0,0.0,22.0,96.2,4985.0,,,,,,http://www.estyn.gov.wales/provider/6662041
6662044,YSGOL DYFFRYN TRANNON,666.0,Powys,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,Trefeglwys,Newtown,Powys,,SY17 5PH,01686430644,100.0,4.2,15.0,94.8,5730.0,,,,,,http://www.estyn.gov.wales/provider/6662044
6662049,GUILSFIELD C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Guilsfield,Nr Welshpool,Powys,,SY21 9ND,01938553979,153.0,7.3,21.3,95.0,4200.0,,,,,,http://www.estyn.gov.wales/provider/6662049
6662050,LLANIDLOES C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llangurig Road,Llanidloes,Powys,,SY18 6EX,01686412603,261.0,14.2,20.5,92.0,4108.0,,,,,,http://www.estyn.gov.wales/provider/6662050
6662051,BUTTINGTON TREWERN C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Buttington,Welshpool,Powys,,SY21 8TB,01938570283,140.0,10.4,27.8,92.9,4243.0,,,,,,http://www.estyn.gov.wales/provider/6662051
6662053,BRYNHAFREN C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,Infants & Juniors,---,Bryn Hafren,,,Shrewsbury,SY5 9BJ,01743884455,32.0,14.6,16.0,94.5,7414.0,,,,,,http://www.estyn.gov.wales/provider/6662053
6662054,CHURCHSTOKE C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Churchstoke,Montgomery,Powys,,SY15 6AA,01588620330,39.0,24.8,16.1,91.0,6368.0,,,,,,http://www.estyn.gov.wales/provider/6662054
6662058,YSGOL GYNRADD GLANTWYMYN,666.0,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Cemmaes Road,Machynlleth,Powys,,SY20 8LX,01650511394,75.0,2.1,17.8,95.0,4623.0,,,,,,http://www.estyn.gov.wales/provider/6662058
6662059,YSGOL PENNANT,666.0,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penybont Fawr,Oswestry,Salop,,SY10 0PD,01691860326,78.0,2.5,22.8,94.0,4709.0,,,,,,http://www.estyn.gov.wales/provider/6662059
6662060,MAESYRHANDIR C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Newtown,Powys,,,SY16 1LH,01686626337,99.0,49.5,18.3,89.1,5879.0,,,,,,http://www.estyn.gov.wales/provider/6662060
6662062,TREOWEN C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Newtown,Powys,,,SY16 1NH,01686627569,106.0,31.1,20.3,92.6,4457.0,,,,,,http://www.estyn.gov.wales/provider/6662062
6662066,FRANKSBRIDGE C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Franksbridge,Llandrindod Wells,Powys,,LD1 5SA,01982570275,39.0,12.1,16.3,93.4,5900.0,,,,,,http://www.estyn.gov.wales/provider/6662066
6662068,LLANBISTER C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llanbister,Llandrindod Wells,Powys,,LD1 6TN,01597840258,57.0,6.5,19.0,93.7,4929.0,,,,,,http://www.estyn.gov.wales/provider/6662068
6662070,YSGOL CEFNLLYS,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cefnllys Lane,Llandrindod Wells,Powys,,LD1 5WA,01597822297,204.0,24.8,16.5,91.9,4292.0,,,,,,http://www.estyn.gov.wales/provider/6662070
6662075,PRESTEIGNE C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Slough Road,Presteigne,Powys,,LD8 2NH,01544267422,169.0,11.6,22.6,93.6,4200.0,,,,,,http://www.estyn.gov.wales/provider/6662075
6662076,RADNOR VALLEY C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,New Radnor,Presteigne,Powys,,LD8 2SS,01544350203,49.0,10.4,19.4,94.5,5667.0,,,,,,http://www.estyn.gov.wales/provider/6662076
6662077,CROSSGATES C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Crossgates,Llandrindod Wells,Powys,,LD1 6RE,01597851667,151.0,15.9,24.7,93.2,4297.0,,,,,,http://www.estyn.gov.wales/provider/6662077
6662084,YSGOL DOLAFON,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llanwrtyd Wells,Powys,,,LD5 4RA,01591610326,52.0,10.9,20.6,90.4,5745.0,,,,,,http://www.estyn.gov.wales/provider/6662084
6662089,BUILTH WELLS C.P. SCHOOL,666.0,Powys,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,Hospital Road,Builth Wells,Powys,,LD2 3GA,01982553600,210.0,11.6,18.8,93.4,4435.0,,,,,,http://www.estyn.gov.wales/provider/6662089
6662092,SENNYBRIDGE C.P. SCHOOL,666.0,Powys,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,Sennybridge,,,Brecon,LD3 8RS,01874636268,107.0,7.6,15.7,94.2,5467.0,,,,,,http://www.estyn.gov.wales/provider/6662092
6662113,CRICKHOWELL C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Crickhowell,Powys,,,NP8 1DY,01873810300,221.0,3.9,20.3,94.3,4050.0,,,,,,http://www.estyn.gov.wales/provider/6662113
6662116,HAY-ON-WYE C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Oxford Road,Hay-On-Wye,Powys,,HR3 5BT,01497820339,186.0,15.6,22.3,92.7,4197.0,,,,,,http://www.estyn.gov.wales/provider/6662116
6662117,LLANGYNIDR C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llangynidr,Crickhowell,Powys,,NP8 1NY,01874730681,101.0,3.6,21.0,94.6,4455.0,,,,,,http://www.estyn.gov.wales/provider/6662117
6662125,LLANFAES C.P. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Beilihelig Road,Llanfaes,Brecon,Powys,LD3 8EB,01874623326,190.0,13.4,23.7,93.7,4208.0,,,,,,http://www.estyn.gov.wales/provider/6662125
6662127,YSGOL Y BANNAU,666.0,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penlan,Aberhonddu,Powys,,LD3 9SR,01874622207,97.0,8.9,20.5,94.0,4732.0,,,,,,http://www.estyn.gov.wales/provider/6662127
6662129,YSGOL RHIW BECHAN,666.0,Powys,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,Tregynon,Powys,,,SY16 3EH,01686650303,144.0,6.6,23.4,93.3,4632.0,,,,,,http://www.estyn.gov.wales/provider/6662129
6662146,LLANRHAEADR YM MOCHNANT C.P. SCHOOL,666.0,Powys,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,Llanrhaeadr Ym Mochnant,Oswestry,Salop,,SY10 0LG,01691780352,84.0,18.8,16.8,92.3,6198.0,,,,,,http://www.estyn.gov.wales/provider/6662146
6662147,YSGOL BRO CYNLLAITH,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llansilin,Oswestry,Salop,,SY10 7QB,01691791365,25.0,12.1,13.9,96.5,8000.0,,,,,,http://www.estyn.gov.wales/provider/6662147
6662148,YSGOL DAFYDD LLWYD,666.0,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Plantation Lane,Newtown,Powys,,SY16 1JE,01686622162,195.0,14.9,24.4,94.0,4294.0,,,,,,http://www.estyn.gov.wales/provider/6662148
6662149,YSGOL Y CRIBARTH,666.0,Powys,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,School Road,Abercrave,Swansea,,SA9 1XD,01639731500,117.0,31.0,16.3,89.4,5370.0,,,,,,http://www.estyn.gov.wales/provider/6662149
6662150,YSGOL GOLWG Y CWM,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Hendreladus,Ystradgynlais,Powys,,SA9 1SE,01639846070,176.0,32.6,17.3,90.6,5150.0,,,,,,http://www.estyn.gov.wales/provider/6662150
6662151,YSGOL BRO TAWE,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd yr Afon,Ystradgynlais,Swansea,,SA9 1BU,01639846000,207.0,21.0,22.2,91.9,4248.0,,,,,,http://www.estyn.gov.wales/provider/6662151
6662152,YSGOL GYMRAEG DYFFRYN Y GLOWYR,666.0,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bethel Road,Lower Cwmtwrch,Swansea,,SA9 2PT,01639846060,344.0,13.8,22.6,91.3,4325.0,,,,,,http://www.estyn.gov.wales/provider/6662152
6662153,YSGOL Y MYNYDD DU ,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Talgarth,Powys,,LD3 0DQ,01874712860,106.0,24.9,22.0,89.3,4710.0,,,,,,http://www.estyn.gov.wales/provider/6662153
6662154,YSGOL GYMRAEG Y TRALLWNG,666.0,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,YSGOL GYMRAEG Y TRALLWNG,HOWELL DRIVE,WELSHPOOL,POWYS,SY21 7AT,01938552005,96.0,14.4,16.6,96.0,4959.0,,,,,,http://www.estyn.gov.wales/provider/6662154
6662155,YSGOL CALON Y DDERWEN,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",Not available,Ysgol Calon y Dderwen,Park Street,Newton,,SY16 1EG,01686626303,250.0,92.2,4407.0,,,,,,,,http://www.estyn.gov.wales/provider/6662155
6662156,Ysgol Golwg Pen y Fan,666.0,Powys,Primary,Not Applicable,EM,English medium,Infants & Juniors,Not available,Ysgol Golwg Pen y Fan,,,Brecon,LD3 7LU,,,,,,,,,,,,http://www.estyn.gov.wales/provider/6662156
6663000,LLANFECHAIN C.I.W. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Llanfechain,Powys,,,SY22 6UQ,01691828537,43.0,10.6,16.5,91.4,5682.0,,,,,,http://www.estyn.gov.wales/provider/6663000
6663002,MONTGOMERY C.I.W. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Montgomery,Powys,,,SY15 6QA,01686668387,105.0,5.8,23.9,95.3,4171.0,,,,,,http://www.estyn.gov.wales/provider/6663002
6663016,FORDEN C.I.W. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Forden,Welshpool,Powys,,SY21 8NE,01938580334,69.0,5.7,20.4,92.4,4853.0,,,,,,http://www.estyn.gov.wales/provider/6663016
6663021,LLANDYSILIO C.I.W. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Four Crosses,Llanymynech,Powys,,SY22 6RB,01691830339,56.0,16.6,16.4,93.7,5304.0,,,,,,http://www.estyn.gov.wales/provider/6663021
6663026,GLADESTRY C.I.W. SCHOOL,666.0,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Gladestry,Kington,Herefordshire,,HR5 3NR,01544370207,35.0,1.0,13.9,96.7,5946.0,,,,,,http://www.estyn.gov.wales/provider/6663026
6663030,YSGOL TREFONNEN CHURCH IN WALES COMMUNITY PRIMARY,666.0,Powys,Primary,Voluntary controlled,DS,Dual Stream,"Nursery, Infants & Juniors",Church in Wales,Trefonnen Lane,Llandrindod Wells,Powys,,LD1 5EB,01597822190,208.0,26.9,26.7,91.2,4519.0,,,,,,http://www.estyn.gov.wales/provider/6663030
6663031,NEWBRIDGE-ON-WYE CHURCH IN WALES SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Newbridge on Wye,Llandrindod Wells,Powys,,LD1 6LD,01597860273,108.0,11.5,22.1,90.8,4318.0,,,,,,http://www.estyn.gov.wales/provider/6663031
6663033,CLYRO C.I.W. SCHOOL,666.0,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Clyro,Via Hereford,,,HR3 5LE,01497820860,67.0,3.0,18.5,93.5,5551.0,,,,,,http://www.estyn.gov.wales/provider/6663033
6663035,KNIGHTON CHURCH IN WALES PRIMARY SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Knighton,Powys,,,LD7 1HP,01547528691,179.0,14.6,19.9,92.4,4416.0,,,,,,http://www.estyn.gov.wales/provider/6663035
6663036,RHAYADER C.I.W. SCHOOL,666.0,Powys,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",Church in Wales,Bryntirion,Rhayader,Powys,,LD6 5LT,01597810288,240.0,18.9,19.9,91.9,4479.0,,,,,,http://www.estyn.gov.wales/provider/6663036
6663037,LLANELWEDD CHURCH IN WALES PRIMARY SCHOOL,666.0,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Llanelwedd,Builth Wells,Powys,,LD2 3TY,01982552616,93.0,10.8,15.5,92.0,4280.0,,,,,,http://www.estyn.gov.wales/provider/6663037
6663050,LLANGORS C.I.W. SCHOOL,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Llangorse,Brecon,Powys,,LD3 7TR,01874658663,141.0,7.3,20.1,94.3,4338.0,,,,,,http://www.estyn.gov.wales/provider/6663050
6663051,WELSHPOOL CHURCH IN WALES PRIMARY SCHOOL,666.0,Powys,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Severn Road,Welshpool,Powys,,SY21 7AT,01938538660,273.0,36.4,20.1,90.4,4412.0,,,,,,http://www.estyn.gov.wales/provider/6663051
6663301,ST. MICHAEL'S C.I.W. SCHOOL,666.0,Powys,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Kerry,Newtown,Powys,,SY16 4NP,01686670208,87.0,10.6,19.4,94.5,4568.0,,,,,,http://www.estyn.gov.wales/provider/6663301
6663303,LLANSANTFFRAID C.I.W.A.,666.0,Powys,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Treflan,Llansantffraid,Powys,,SY22 6AE,01691828539,103.0,7.4,20.6,95.5,4307.0,,,,,,http://www.estyn.gov.wales/provider/6663303
6663317,ARCHDEACON GRIFFITHS C.I.W. PRIMARY SCHOOL,666.0,Powys,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Llyswen,Brecon,Powys,,LD3 0YB,01874754334,130.0,5.0,20.4,93.2,4108.0,,,,,,http://www.estyn.gov.wales/provider/6663317
6663318,PRIORY CHURCH IN WALES SCHOOL,666.0,Powys,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Pendre Close,Brecon,Powys,,LD3 9EU,01874623549,157.0,30.0,22.4,90.5,4361.0,,,,,,http://www.estyn.gov.wales/provider/6663318
6663320,ST MARY`S R.C. (A) SCHOOL,666.0,Powys,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Milford Road,Newtown,Powys,,SY16 2EH,01686625582,61.0,33.1,16.9,89.8,5383.0,,,,,,http://www.estyn.gov.wales/provider/6663320
6663322,LLANGATTOCK C.I.W. SCHOOL,666.0,Powys,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Llangattock,Crickhowell,Powys,,NP8 1PH,01873810608,96.0,9.7,21.2,93.8,4354.0,,,,,,http://www.estyn.gov.wales/provider/6663322
6663323,YSGOL CWM BANWY,666.0,Powys,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",Not available,Llangadfan School,,Banwy C P School,Llangadfan Welshpool,SY21 0NW,01938820226,41.0,94.7,5818.0,,,,,,,,http://www.estyn.gov.wales/provider/6663323
6664002,LLANIDLOES HIGH SCHOOL,666.0,Powys,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Llanidloes,Powys,,,SY18 6EX,01686412289,712.0,12.2,16.6,89.6,5879.0,380.9,41.0,39.4,41.0,41.3,http://www.estyn.gov.wales/provider/6664002
6664011,Newtown High School,666.0,Powys,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Dolfor Road,Newtown,Powys,,SY16 1JE,01686626304,934.0,19.0,16.6,89.8,6068.0,370.3,38.8,36.0,36.5,42.1,http://www.estyn.gov.wales/provider/6664011
6664013,WELSHPOOL HIGH SCHOOL,666.0,Powys,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Salop Road,Welshpool,Powys,,SY21 7RE,01938552014,789.0,17.0,19.8,88.9,5335.0,348.3,38.1,38.1,38.3,38.5,http://www.estyn.gov.wales/provider/6664013
6664021,Ysgol Maesydderwen,666.0,Powys,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Tudor Street,Ystradgynlais,Swansea,,SA9 1AP,01639842115,542.0,23.1,16.2,85.1,6195.0,351.7,36.2,34.1,33.2,33.2,http://www.estyn.gov.wales/provider/6664021
6664022,BRECON HIGH SCHOOL,666.0,Powys,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Penlan,Brecon,Powys,,LD3 9SR,01874622361,556.0,14.2,16.7,90.7,6589.0,379.6,40.1,38.2,39.6,37.1,http://www.estyn.gov.wales/provider/6664022
