School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url,latitude,longitude
6637000,YSGOL TIR MORFA,663,Denbighshire,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Ffordd Derwen,Rhyl,Denbighshire,,LL18 2RN,01745350388,109,,,,,,,,,,,53.3094919,-3.4785708
6637010,Ysgol Plas Brondyffryn,663,Denbighshire,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Park Street,Denbigh,,,LL16 3DR,01745813914,125,,,,,,,,,,,53.185089,-3.4093053
6642002,Ysgol Glan Aber,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Boot End,Bagillt,Flintshire,,CH6 6LW,01352711995,151,,,,,,,,,,,53.2781974,-3.1893193
6642003,Ysgol Merllyn,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Foel Gron,Bagillt,Flintshire,,CH6 6BB,01352733366,133,,,,,,,,,,,53.2654991,-3.16838
6642004,Westwood CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Tabernacle Street,Buckley,Flintshire,,CH7 2JT,01244543207,208,,,,,,,,,,,53.1673701,-3.0813832
6642012,Ewloe Green,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Old Mold Road,Ewloe,Deeside,Flintshire,CH5 3GU,01244532569,379,,,,,,,,,,,53.1919982,-3.0559878
6642013,Bryn Garth CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffynnongroew,Holywell,Flintshire,,CH8 9JA,01745560435,84,,,,,,,,,,,53.3250511,-3.3048626
6642015,Ysgol Gwynedd CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Prince Of Wales Avenue,Flint,Flintshire,,CH6 5DL,01325732365,522,,,,,,,,,,,53.2450447,-3.1334627
6642018,Ysgol Maesglas,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Fulbrooke,Greenfield,Holywell,Flintshire,CH8 7JW,01352711497,234,,,,,,,,,,,53.29012609999999,-3.2129004
6642021,Ysgol Gymraeg Mornant,664,Flintshire,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Picton Road,"Picton,  Penyffordd",Treffynnon,Sir Y Fflint,CH8 9JQ,01745560433,66,,,,,,,,,,,53.3290527,-3.3254662
6642024,Ysgol Estyn Community School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Hawarden Road,Hope,Nr. Wrexham,Flintshire,LL12 9NL,01978760501,227,,,,,,,,,,,53.1144846,-3.0333626
6642028,Ysgol Glanrafon,664,Flintshire,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Lon Bryn Coch,Yr Wyddgrug,Sir Y Fflint,,CH7 1PS,01352700384,323,,,,,,,,,,,53.1626284,-3.1452814
6642032,Northop Hall,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llys Ben,Northop Hall,Nr.Mold,Flintshire,CH7 6HS,01244815980,169,,,,,,,,,,,53.2019947,-3.092611
6642040,Wood Memorial Primary School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Boundary Lane,Saltney,Chester,Flintshire,CH4 8BT,01244671807,160,,,,,,,,,,,53.17868989999999,-2.9217637
6642041,Sealand CP School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Farm Road,Sealand,Deeside,Flintshire,CH5 2HH,01244830089,206,,,,,,,,,,,53.21298789999999,-3.0123728
6642043,Sychdyn CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Vownog Road,Sychdyn,Mold,Flintshire,CH7 6ED,01352753654,167,,,,,,,,,,,53.1901618,-3.1325724
6642044,Trelogan Primary,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Berthengam,Treffynnon,Sir Y Fflint,,CH8 9BZ,01745560432,59,,,,,,,,,,,53.3103069,-3.3278914
6642046,Bryn Pennant CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd Pennant,Mostyn,Nr. Holywell,Flintshire,CH8 9NU,01745560274,117,,,,,,,,,,,53.3085781,-3.2623041
6642049,Ysgol Bro Carmel,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Carmel Road,Carmel,Holywell,Flintshire,CH8 8NU,01352712234,164,,,,,,,,,,,53.2809791,-3.2560036
6642050,Rhos Helyg School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Rhosesmor,Mold,Flintshire,,CH7 6PJ,01352780265,104,,,,,,,,,,,53.216854,-3.18299
6642051,Ysgol Terrig,664,Flintshire,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd y Llan,Treuddyn,Yr Wyddgrug,Sir Y Fflint,CH7 4LN,01352770235,94,,,,,,,,,,,53.1137586,-3.1179842
6642052,Ysgol Bryn Deva,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Linden Avenue,Connah's Quay,Flintshire,,CH5 4SN,01244830080,326,,,,,,,,,,,53.2176585,-3.065948
6642053,Sandycroft CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Leaches Lane,Mancot,Deeside,Flintshire,CH5 2EH,01244532083,360,,,,,,,,,,,53.1994215,-3.0121053
6642056,Gwernymynydd CP School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Godre'r Coed,Gwernymynydd,Mold,Flintshire,CH7 4DT,01352756756,73,,,,,,,,,,,53.1564882,-3.1703895
6642061,Queensferry Community Primary School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Queens Ferry Campus, Queen's Ferry,Deeside,Flintshire,CH5 1SA,01244812136,119,,,,,,,,,,,53.20657600000001,-3.0298172
6642062,Ysgol Bryn Coch,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Victoria Road,Mold,Flintshire,,CH7 1EW,01352752975,636,,,,,,,,,,,53.1656156,-3.1395014
6642063,Mountain Lane Primary School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Knowle Lane,Buckley,Flintshire,,CH7 3JA,01244550688,459,,,,,,,,,,,53.17024989999999,-3.0730313
6642064,"Ysgol y Foel, Cilcain",664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd Y Llan,Cilcain,Mold,Flintshire,CH7 5NH,01352740197,35,,,,,,,,,,,53.17921519999999,-3.2335639
6642065,Brynford CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Brynford,Holywell,Flintshire,,CH8 8AD,01352713184,80,,,,,,,,,,,53.2577629,-3.2342801
6642068,Ysgol Bryn Gwalia,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Clayton Road,Mold,Flintshire,,CH7 1SU,01352752659,137,,,,,,,,,,,53.1669636,-3.1504368
6642077,Golftyn CP School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,York Road,Connah's Quay,Deeside,Flintshire,CH5 4XA,01244830569,392,,,,,,,,,,,53.22067759999999,-3.0703964
6642078,Saltney Ferry CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Saltney Ferry Road,Saltney Ferry,Chester,Flintshire,CH4 0BN,01244680302,133,,,,,,,,,,,53.1770536,-2.9453943
6642081,Y Waun,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Y Waen,Gwernaffield,Mold,Flintshire,CH7 5DP,01352740362,61,,,,,,,,,,,53.1720083,-3.1913245
6642082,Ysgol Gwenffrwd,664,Flintshire,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Stryd Chwitffordd,Treffynnon,Sir Y Fflint,,CH8 7NJ,01352713158,123,,,,,,,,,,,53.2758982,-3.2274671
6642084,Abermorddu CP School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cymau Road,Caergwrle,Nr. Wrexham,Flintshire,LL12 9DH,01978760647,181,,,,,,,,,,,53.1014762,-3.0332515
6642085,Southdown CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Linderick Avenue,Buckley,Flintshire,,CH7 2NP,01244544473,372,,,,,,,,,,,53.1702678,-3.0886465
6642086,Wepre Community School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llwyni Drive,Connah's Quay,Deeside,Flintshire,CH5 4NE,01244830104,329,,,,,,,,,,,53.2048256,-3.0701278
6642089,Drury Primary School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Beech Road,Drury,Buckley,Flintshire,CH7 3EG,01244543005,148,,,,,,,,,,,53.1704934,-3.0532993
6642091,Cornist Park CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd yr Ysgol,Flint,,,CH6 5ET,01352735657,269,,,,,,,,,,,53.2453684,-3.151543
6642092,Ysgol Derwenfa CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Queen Street,Leeswood,Nr. Mold,Flintshire,CH7 4RQ,01352770477,87,,,,,,,,,,,53.1304159,-3.089173
6642093,Penarlag CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Carlines Avenue,Carlines Park,Ewloe,Flintshire,CH5 3RQ,01244533867,167,,,,,,,,,,,53.1922357,-3.0430762
6642094,Owen Jones CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd Owen,Northop,Mold,Flintshire,CH7 6AU,01352840255,119,,,,,,,,,,,53.20840639999999,-3.1369323
6642237,Gronant Primary School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Nant Y Gro,Gronant,Nr. Prestatyn,Flintshire,LL19 9YP,01745856119,53,,,,,,,,,,,53.3381489,-3.3565037
6642257,Ysgol Gymraeg Croes Atti,664,Flintshire,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Chester Road,Sir Y Fflint,,,CH6 5DU,01352733335,273,,,,,,,,,,,53.2456285,-3.1260395
6642266,Ysgol Parc y Llan,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd Y Llan,Treuddyn,Mold,Flintshire,CH7 4LN,01352770304,124,,,,,,,,,,,53.1136254,-3.1180607
6642267,Ysgol Mynydd Isa,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Chambers Lane,Bryn-Y-Baal,Mold,Flintshire,CH7 6SJ,01352752714,492,,,,,,,,,,,53.1732098,-3.1105045
6642268,Broughton Primary School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Broughton Hall Road,Broughton,Flintshire,,CH4 0QQ,01244533752,582,,,,,,,,,,,53.1663285,-2.9858515
6642269,Ysgol Cae'r Nant,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Mold Road,Connah's Quay,Flintshire,,CH5 4QL,01244830708,343,,,,,,,,,,,53.2139819,-3.0541082
6642270,Ysgol Penyffordd,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Penymynydd Road,Penyffordd,Flintshire,,CH4 0LQ,01244547214,350,,,,,,,,,,,53.1519846,-3.0419729
6642271,Ysgol Ty Ffynnon,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Taliesin Avenue,Shotton,Flintshire,,CH5 1HP,01244830018,261,,,,,,,,,,,53.2086156,-3.0463887
6642272,Ysgol Maes Y Felin,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pen Y Maes Road,Holywell,Flintshire,,CH8 7EN,01352711366,288,,,,,,,,,,,53.2759562,-3.21426
6643002,Nannerch V.C.P. School,664,Flintshire,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Nannerch Village,Nr Mold,Flintshire,,CH7 5RD,01352741377,43,,,,,,,,,,,53.21930099999999,-3.252431
6643303,Ysgol Yr Esgob C in W,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Lon-yr-ysgol,Caerwys,Mold,Flintshire,CH7 5AD,01352720287,56,,,,,,,,,,,53.24498310000001,-3.310155
6643306,St Mary's,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Ffordd Llewelyn,Pen Goch,Flintshire,,CH6 5JZ,01352733231,254,,,,,,,,,,,53.2407757,-3.1289677
6643307,St Winefrides,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Whitford Street,Holywell,Flintshire,,CH8 7NJ,01352713182,180,,,,,,,,,,,53.275408,-3.2265152
6643308,St David's Catholic Primary School,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,St David's Lane,Mold,Flintshire,,CH7 1LH,01352752651,78,,,,,,,,,,,53.170035,-3.135938
6643311,St Anthony's Catholic Primary,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,High Street,Saltney,Flintshire,,CH4 8SG,01244680480,70,,,,,,,,,,,53.1789536,-2.9240866
6643312,Venerable Edward Morgan RC,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Caernarfon Close,Shotton,Flintshire,,CH5 1AS,01244830408,187,,,,,,,,,,,53.2068682,-3.0428904
6643316,Trelawnyd,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,London Road,Rhyl,Trelawnyd,Flintshire,LL18 6DL,01745570171,67,,,,,,,,,,,53.3066735,-3.3683088
6643320,Ysgol y Llan VA Primary School Whitford,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Whitford,Holywell,Flintshire,,CH8 9AN,01745560431,81,,,,,,,,,,,53.294491,-3.2821771
6643330,St. Ethelwolds,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Melrose Avenue,Shotton,Deeside,Flintshire,CH5 1NG,01244812932,96,,,,,,,,,,,53.2020838,-3.0391715
6643331,St John the Baptist VA School,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Chester Road,Penymynydd,Flintshire,,CH4 0EN,01244550838,108,,,,,,,,,,,53.1581074,-3.0400284
6643332,Nercwys VA,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Village Road,Nercwys,Mold,Flintshire,CH7 4EL,01352752654,32,,,,,,,,,,,53.2138617,-3.2491072
6643333,Hawarden Village VA,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Cross Tree Lane,Hawarden,Flintshire,,CH5 3PY,01244532091,421,,,,,,,,,,,53.1854554,-3.0234398
6643334,Lixwm VA Church in Wales Primary School,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Lixwm Primary School,,Lixwm CP School,Lixwm Holywell,CH8 8NQ,01352780455,55,,,,,,,,,,,53.2331673,-3.2485405
6644000,Hawarden High School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,The Highway,Hawarden,Deeside,Flintshire,CH5 3DN,01244526400,1140,,,,,,,,,,,53.1883697,-3.041744
6644006,Alun School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Wrexham Road,Mold,Flintshire,,CH7 1EP,01352750755,1538,,,,,,,,,,,53.1610958,-3.140336
6644011,Elfed High School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Mill Lane,Buckley,Flintshire,,CH7 3HQ,01244550217,928,,,,,,,,,,,53.17185869999999,-3.0830812
6644012,Ysgol Treffynnon,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,The Strand,Holywell,Flintshire,,CH8 7EN,01352710011,503,,,,,,,,,,,53.2764698,-3.2152429
6644013,St. David's High School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,St David's Terrace,Saltney,Chester,Flintshire,CH4 0AE,01244671583,343,,,,,,,,,,,53.1773376,-2.9386872
6644017,Castell Alun High School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Fagl Lane,Hope,Flintshire,,LL12 9PY,01978760238,1284,,,,,,,,,,,53.1190649,-3.0358033
6644018,Maes Garmon,664,Flintshire,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Stryd Conwy,Yr Wyddgrug,Sir Y Fflint,,CH7 1JB,01352750678,601,,,,,,,,,,,53.162366,-3.1409275
6644021,Flint High School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Maes Hyfryd,Flintshire,,,CH6 5LL,01352732268,778,,,,,,,,,,,53.2390908,-3.1375217
6644022,"Connah's Quay High School,",664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Golftyn Lane,Connah's Quay,Flintshire,,CH5 4BH,01244813491,1072,,,,,,,,,,,53.2230488,-3.0782318
6644042,Argoed School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Bryn Road,Bryn Y Baal,Nr Mold,Flintshire,CH7 6RY,01352756414,551,,,,,,,,,,,53.1744152,-3.1067114
6644600,St. Richard Gwyn Catholic High School,664,Flintshire,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Albert Avenue,Flint,,,CH6 5JZ,01352736900,772,,,,,,,,,,,53.2403793,-3.1268215
6645200,Derwen Foundation School,664,Flintshire,Primary,Foundation,EM,English medium,"Nursery, Infants & Juniors",---,Higher Kinnerton,Flintshire,,,CH4 9AJ,01244660291,192,,,,,,,,,,,53.1456919,-3.002257
6647020,Pen Coch,664,Flintshire,Special,Not Applicable,0 ,Not available,Special (without post-16 provision),---,Prince of Wales Avenue,Flint,Flintshire,,CH6 5DL,01352792730,99,,,,,,,,,,,53.2446382,-3.132981
6647021,Ysgol Maes Hyfryd,664,Flintshire,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Fifth Avenue,Flint,Flintshire,,CH6 5QL,01352792720,123,,,,,,,,,,,53.2396294,-3.1355018
6651007,Ysgol Cae'r Gwenyn,665,Wrexham,Nursery,Not Applicable,0 ,Not available,Nursery,---,Prince Charles Road,Wrexham,,,LL13 8TH,01978356177,50,,,,,,,,,,,53.0444068,-2.9722908
6652076,The Rofft CP School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Wynnstay Lane,Marford,Wrexham,,LL12 8LA,01978853116,225,,,,,,,,,,,53.0895703,-2.9597399
6652137,Froncysyllte,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Woodlands Road,Froncysyllte,Llangollen,Wrexham,LL20 7SU,01691773310,19,,,,,,,,,,,52.9629899,-3.0883823
6652138,Garth CP,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Trevor,Llangollen,Wrexham,,LL20 7UY,01978820582,50,,,,,,,,,,,52.9769929,-3.1051945
6652139,Ysgol Cynddelw,665,Wrexham,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,New Road,Glynceiriog,Llangollen,,LL20 7HH,01691718426,89,,,,,,,,,,,52.9337477,-3.1810247
6652140,Llanarmon DC School,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanarmon Dyffryn,Ceiriog,Nr Llangollen,,LL20 7LF,01691600278,20,,,,,,,,,,,52.8842797,-3.2560551
6652149,Ysgol Acrefair,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Tower View,Acrefair,Wrexham,,LL14 3SH,01978820616,215,,,,,,,,,,,52.9801608,-3.0793066
6652151,Cefn Mawr C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Plas Kynaston Lane,Cefn Mawr,Wrexham,,LL14 3PY,01978820719,195,,,,,,,,,,,52.9702478,-3.0733908
6652160,Ysgol Maes-y-Llan,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maes y Llan Lane,Ruabon,Wrexham,,LL14 6AE,01978820991,144,,,,,,,,,,,52.9882485,-3.0364644
6652162,Ysgol Min y Ddol,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Lon Plas Kynmaston,Cefn Mawr,Wrexham,,LL14 3PY,01978820903,113,,,,,,,,,,,52.9709327,-3.0730076
6652173,Alexandra C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Park Avenue,Bodhyfryd,Wrexham,,LL12 7AZ,01978315120,366,,,,,,,,,,,53.0503357,-2.9874498
6652176,Brynteg C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maesteg,Brynteg,Wrexham,,LL11 6NB,01978756398,177,,,,,,,,,,,53.0646599,-3.0372828
6652178,BWLCHGWYN SCHOOL,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Brymbo Road,Bwlchgwyn,Wrexham,,LL11 5UA,01978269930,111,,,,,,,,,,,53.0723818,-3.0936929
6652179,Ysgol Tan-y-Fron,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Tanyfron Road,Tanyfron,Wrexham,,LL11 5SA,01978758118,127,,,,,,,,,,,53.0619605,-3.0494741
6652187,Black Lane C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Long Lane,Pentre Broughton,Wrexham,,LL11 6BT,01978757959,153,,,,,,,,,,,53.0735565,-3.043636
6652191,Rhosddu County Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Price's Lane,Rhosddu,Wrexham,,LL11 2NB,01978318830,289,,,,,,,,,,,53.0551521,-2.9962898
6652200,Rhostyllen CP School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Street,Rhostyllen,Wrexham,,LL14 4AN,01978352357,219,,,,,,,,,,,53.0307712,-3.0248585
6652204,Ysgol Deiniol C P,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,The Ridgeway,Marchwiel,Wrexham,,LL13 0SB,01978353760,171,,,,,,,,,,,53.0233806,-2.9568584
6652208,Barker's Lane CP,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Barker's Lane,Wrexham,,,LL13 9UN,01978357754,242,,,,,,,,,,,53.0669444,-2.9740717
6652209,Wat's Dyke County Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Garden Village,Wrexham,,,LL11 2TE,01978355731,296,,,,,,,,,,,53.062585,-2.9968342
6652224,Ysgol Bryn Tabor,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Maelor,Coedpoeth,Wrecsam,,LL11 3NB,01978722180,221,,,,,,,,,,,53.0519116,-3.0676627
6652232,Ysgol Sant Dunawd,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Sandown Road,Bangor-On-Dee,Wrexham,,LL13 0JA,01978780757,89,,,,,,,,,,,53.0034717,-2.9065668
6652235,Holt C.P. School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Chapel Street,Holt,Wrexham,,LL13 9DJ,01829270021,60,,,,,,,,,,,53.07833669999999,-2.8836117
6652238,Ysgol Bodhyfryd,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Range Road,Wrexham,,,LL13 7DA,01978351168,315,,,,,,,,,,,53.035336,-2.985478
6652259,Ysgol I.D. Hooson,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Caradoc,Pentredwr,Rhos,Wrexham,LL14 2DX,01978832950,249,,,,,,,,,,,53.0075423,-3.0631983
6652263,Ysgol Plas Coch,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Stansty,Plas Coch,Wrexham,,LL11 2BU,01978311198,306,,,,,,,,,,,53.05830899999999,-3.004817
6652266,Penygelli C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Glyndwr,Coedpoeth,Wrexham,,LL11 3HA,01978722160,261,,,,,,,,,,,53.0528586,-3.0637697
6652267,Ysgol Penrhyn New Broughton CP,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Lane,New Broughton,Wrexham,,LL11 6SF,01978269920,211,,,,,,,,,,,53.0581532,-3.0320304
6652268,Ysgol Heulfan,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Sunny View,Gwersylit,Wrexham,,LL11 4HS,01978722040,342,,,,,,,,,,,53.0730361,-3.0232814
6652269,Hafod y Wern Community Primary School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Deva Way,Caia Park,Wrexham,,LL13 9HD,01978367080,270,,,,,,,,,,,53.04710249999999,-2.9722346
6652270,Gwenfro Community Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Queensway,Wrexham,,,LL13 8UW,01978340380,321,,,,,,,,,,,53.0400037,-2.9709309
6652271,Park Community Primary School Llay,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Llay,Wrexham,,LL12 0TR,01978859100,350,,,,,,,,,,,53.0962219,-2.9972646
6652272,Rhosymedre Community Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Parc Road,Rhosymedre,Wrexham,,LL14 3EG,01978812510,230,,,,,,,,,,,52.9796789,-3.0623185
6652273,Ysgol Maes y Mynydd,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pentredwr,Rhosllanerchrugog,Wrexham,,LL14 1DD,01978832970,285,,,,,,,,,,,53.0154806,-3.0597048
6652274,Gwersyllt Community Primary School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dodds Lane,Gwersyllt,Wrexham,,LL11 4NT,01978269520,248,,,,,,,,,,,53.0716367,-3.0141654
6652275,Penycae Community Primary School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Afoneitha Road,Penycae,Wrexham,,LL14 2PF,01978840509,187,,,,,,,,,,,52.9991987,-3.0625122
6652276,Acton Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Box Lane,Wrexham,,,LL12 8BT,01978318950,334,,,,,,,,,,,53.0617474,-2.9851129
6652277,Victoria Community Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Poyster Street,Wrexham,,,LL13 7RP,01978360060,451,,,,,,,,,,,53.04203260000001,-3.0016513
6652278,Ysgol Y Waun,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Lloyds Lane,Chirk,Wrexham,,LL14 5NH,01691770530,325,,,,,,,,,,,52.93773179999999,-3.0528152
