De ref,school name,address 1,town,postcode,school type,management type,constituency,council,rural     ,total pupils,fsme,free school meals,Protestant,% Protestant,Catholic,% Catholic,Other Christian / non-Christian / no religion / unknown,% Other Christian / non-Christian / no religion / unknown,Newcomer,Total enrolment,% Newcomer
4210045,Nendrum College,DARRAGH ROAD,NEWTOWNARDS,BT235BX,Secondary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Urban,411,161,39.20%,339,82.5,5,1.2,67,16.3,0,411,0.00%
4210046,Glastry College,14 VICTORIA ROAD,NEWTOWNARDS,BT221DQ,Secondary,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Rural,611,210,34.40%,481,78.7,10,1.6,120,19.6,*,611,*
4210051,Lisnagarvey High School,WARREN GARDENS,LISBURN,BT281HN,Secondary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban,517,207,40.00%,404,78.1,24,4.6,89,17.2,*,517,*
4210063,Saintfield High School,21 COMBER ROAD,SAINTFIELD,BT247BB,Secondary,Controlled,STRANGFORD,NEWRY MOURNE AND DOWN,Rural,374,82,21.90%,293,78.3,8,2.1,73,19.5,0,374,0.00%
4210201,Laurelhill Community College,22 LAURELHILL ROAD,LISBURN,BT282UH,Secondary,Controlled,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban,648,187,28.90%,473,73,32,4.9,143,22.1,*,648,*
4210262,Dundonald High School,764 UPPER NEWTOWNARDS ROAD,BELFAST,BT161TH,Secondary,Controlled,BELFAST EAST,LISBURN AND CASTLEREAGH,Urban,340,196,57.60%,261,76.8,5,1.5,74,21.8,12,340,3.50%
4210296,Bangor Academy and 6th Form College,2 CASTLE PARK ROAD,BANGOR,BT204TB,Secondary,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Urban,1487,451,30.30%,1056,71,34,2.3,397,26.7,8,1487,0.50%
4210316,Breda Academy,NEWTOWNBREDA ROAD,BELFAST,BT186PY,Secondary,Controlled,BELFAST SOUTH,LISBURN AND CASTLEREAGH,Urban,827,410,49.60%,585,70.7,25,3,217,26.2,59,827,7.10%
4230023,"St Mary's High School, Downpatrick",23 ARDGLASS ROAD,DOWNPATRICK,BT306JQ,Secondary,Catholic Maintained,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban,416,177,42.50%,*,*,407,97.8,#,#,*,416,*
4230067,St Columba's College,2 BALLYPHILIP ROAD,NEWTOWNARDS,BT221RB,Secondary,Catholic Maintained,STRANGFORD,ARDS AND NORTH DOWN,Rural,175,55,31.40%,7,4,163,93.1,5,2.9,0,175,0.00%
4230102,"St Colmcille's High School, Crossgar",1 KILLYLEAGH ROAD,CROSSGAR,BT309EY,Secondary,Catholic Maintained,SOUTH DOWN,NEWRY MOURNE AND DOWN,Rural,274,96,35.00%,14,5.1,244,89.1,16,5.8,*,274,*
4230107,St Columbanus' College,BALLYMACONNELL ROAD,BANGOR,BT205PU,Secondary,Catholic Maintained,NORTH DOWN,ARDS AND NORTH DOWN,Urban,642,194,30.20%,227,35.4,269,41.9,146,22.7,10,642,1.60%
4230161,"St Colman's High School, Ballynahinch",52 CROSSGAR ROAD,BALLYNAHINCH,BT248XR,Secondary,Catholic Maintained,STRANGFORD,NEWRY MOURNE AND DOWN,Urban,437,150,34.30%,57,13,360,82.4,20,4.6,*,437,*
4230165,"St Patrick's Academy, Lisburn",BALLINDERRY ROAD,LISBURN,BT281TD,Secondary,Catholic Maintained,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban,424,138,32.50%,8,1.9,398,93.9,18,4.2,19,424,4.50%
4230211,"St Malachy's High School, Castlewellan",3 DUBLIN ROAD,CASTLEWELLAN,BT319AG,Secondary,Catholic Maintained,SOUTH DOWN,NEWRY MOURNE AND DOWN,Rural,927,366,39.50%,*,*,907,97.8,#,#,13,927,1.40%
4230223,"St Colm's High School, Belfast",70 SUMMERHILL DRIVE,BELFAST,BT170BT,Secondary,Catholic Maintained,BELFAST WEST,BELFAST,Urban,392,276,70.40%,0,0,392,100,0,0,0,392,0.00%
4230224,De La Salle High School,28 STRUELL ROAD,DOWNPATRICK,BT306JR,Secondary,Catholic Maintained,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban,356,137,38.50%,*,*,#,#,*,*,0,356,0.00%
4250024,Priory College,MY LADY'S MILE,HOLYWOOD,BT189ER,Secondary,Controlled Integrated,NORTH DOWN,ARDS AND NORTH DOWN,Urban,603,235,39.00%,404,67,59,9.8,140,23.2,7,603,1.20%
4250072,Fort Hill College,BELFAST ROAD,LISBURN,BT274TL,Secondary,Controlled Integrated,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban,843,284,33.70%,580,68.8,79,9.4,184,21.8,14,843,1.70%
4260255,Lagan College,44 MANSE ROAD,BELFAST,BT86SA,Secondary,GMI,STRANGFORD,LISBURN AND CASTLEREAGH,Rural,1261,335,26.60%,463,36.7,489,38.8,309,24.5,10,1261,0.80%
4260281,Shimna Integrated College,THE LAWNFIELD,NEWCASTLE,BT330HD,Secondary,GMI,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban,594,189,31.80%,177,29.8,318,53.5,99,16.7,5,594,0.80%
4260295,Strangford Integrated College,ABBEY ROAD,CARROWDORE,BT222GB,Secondary,GMI,STRANGFORD,ARDS AND NORTH DOWN,Rural,637,216,33.90%,364,57.1,91,14.3,182,28.6,16,637,2.50%
4260309,Blackwater Integrated College,12 OLD BELFAST ROAD,DOWNPATRICK,BT306SG,Secondary,GMI,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban,212,90,42.50%,112,52.8,72,34,28,13.2,5,212,2.40%
4410063,Regent House Grammar School,CIRCULAR ROAD,NEWTOWNARDS,BT234QA,Grammar,Controlled,STRANGFORD,ARDS AND NORTH DOWN,Urban,1434,160,11.20%,1041,72.6,33,2.3,360,25.1,0,1434,0.00%
4410085,Down High School,MOUNT CRESCENT,DOWNPATRICK,BT306EU,Grammar,Controlled,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban,951,72,7.60%,653,68.7,172,18.1,126,13.2,0,951,0.00%
4410097,Glenlola Collegiate,2 VALENTINE ROAD,BANGOR,BT204TH,Grammar,Controlled,NORTH DOWN,ARDS AND NORTH DOWN,Urban,1035,147,14.20%,677,65.4,60,5.8,298,28.8,*,1035,*
4420015,Bangor Grammar School,GRANSHA ROAD,BANGOR,BT197QU,Grammar,Voluntary,NORTH DOWN,ARDS AND NORTH DOWN,Urban,860,115,13.40%,527,61.3,46,5.3,287,33.4,*,860,*
4420044,Sullivan Upper School,BELFAST ROAD,HOLYWOOD,BT189EP,Grammar,Voluntary,NORTH DOWN,ARDS AND NORTH DOWN,Urban,1076,61,5.70%,658,61.2,122,11.3,296,27.5,*,1076,*
4420050,Friends' School,6 MAGHERALAVE ROAD,LISBURN,BT283BH,Grammar,Voluntary,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban,975,42,4.30%,635,65.1,136,13.9,204,20.9,*,975,*
4420051,Wallace High School,12A CLONEVIN PARK,LISBURN,BT283AD,Grammar,Voluntary,LAGAN VALLEY,LISBURN AND CASTLEREAGH,Urban,1152,72,6.30%,883,76.6,76,6.6,193,16.8,0,1152,0.00%
4420086,Assumption Grammar School,22-24 BELFAST ROAD,BALLYNAHINCH,BT248EA,Grammar,Voluntary,STRANGFORD,NEWRY MOURNE AND DOWN,Urban,841,110,13.10%,7,0.8,816,97,18,2.1,0,841,0.00%
4420088,"St Patrick's Grammar School, Downpatrick",109 SAUL STREET,DOWNPATRICK,BT306NJ,Grammar,Voluntary,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban,705,98,13.90%,7,1,681,96.6,17,2.4,0,705,0.00%
4420259,Our Lady and St Patrick's College,120 GILNAHIRK ROAD,BELFAST,BT57DL,Grammar,Voluntary,BELFAST EAST,BELFAST,Urban,1283,52,4.10%,14,1.1,1238,96.5,31,2.4,*,1283,*
5210016,Kilkeel High School,KNOCKCHREE AVENUE,NEWRY,BT344BP,Secondary,Controlled,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban,675,171,25.30%,598,88.6,15,2.2,62,9.2,10,675,1.50%
5210025,Newtownhamilton High School,9 ARMAGH ROAD,NEWRY,BT350DG,Secondary,Controlled,NEWRY AND ARMAGH,NEWRY MOURNE AND DOWN,Rural,191,49,25.70%,178,93.2,*,*,#,#,11,191,5.80%
5210043,Clounagh Junior High School,BROWNSTOWN ROAD,PORTADOWN,BT623QA,Secondary,Controlled,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,612,182,29.70%,405,66.2,76,12.4,131,21.4,40,612,6.50%
5210047,Banbridge High School,69A PRIMROSE GARDENS,BANBRIDGE,BT323EW,Secondary,Controlled,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,502,151,30.10%,448,89.2,9,1.8,45,9,*,502,*
5210054,Killicomaine Junior High School,UPPER CHURCH LANE,PORTADOWN,BT635JE,Secondary,Controlled,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,503,109,21.70%,390,77.5,31,6.2,82,16.3,32,503,6.40%
5210064,Dromore High School,31 BANBRIDGE ROAD,DROMORE,BT251ND,Secondary,Controlled,LAGAN VALLEY,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,967,157,16.20%,771,79.7,38,3.9,158,16.3,12,967,1.20%
5210083,Markethill High School,61 MOWHAN ROAD,ARMAGH,BT601RQ,Secondary,Controlled,NEWRY AND ARMAGH,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Rural,516,111,21.50%,489,94.8,*,*,#,#,*,516,*
5210097,Fivemiletown College,51 COLEBROOK ROAD,FIVEMILETOWN,BT750SB,Secondary,Controlled,FERMANAGH AND SOUTH TYRONE,MID ULSTER,Rural,372,98,26.30%,333,89.5,16,4.3,23,6.2,6,372,1.60%
5210121,City Armagh High School,88-96 ALEXANDER ROAD,ARMAGH,BT617JH,Secondary,Controlled,NEWRY AND ARMAGH,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,302,129,42.70%,228,75.5,30,9.9,44,14.6,52,302,17.20%
5210127,Rathfriland High School,78 NEWRY STREET,NEWRY,BT345PZ,Secondary,Controlled,SOUTH DOWN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Rural,319,69,21.60%,273,85.6,0,0,46,14.4,0,319,0.00%
5210143,Tandragee Junior High School,ARMAGH ROAD,TANDRAGEE,BT622AY,Secondary,Controlled,NEWRY AND ARMAGH,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Rural,296,69,23.30%,262,88.5,*,*,#,#,*,296,*
5210153,Aughnacloy College,23 CARNTEEL ROAD,AUGHNACLOY,BT696DX,Secondary,Controlled,FERMANAGH AND SOUTH TYRONE,MID ULSTER,Rural,153,44,28.80%,148,96.7,0,0,5,3.3,*,153,*
5210186,Newry High School,23 ASHGROVE ROAD,NEWRY,BT341QN,Secondary,Controlled,NEWRY AND ARMAGH,NEWRY MOURNE AND DOWN,Urban,388,148,38.10%,192,49.5,156,40.2,40,10.3,51,388,13.10%
5210230,Cookstown High School,COOLNAFRANKIE DEMESNE,COOKSTOWN,BT808PQ,Secondary,Controlled,MID ULSTER,MID ULSTER,Urban,787,188,23.90%,662,84.1,23,2.9,102,13,19,787,2.40%
5210231,Drumglass High School,24-38 CARLAND ROAD,DUNGANNON,BT714AA,Secondary,Controlled,FERMANAGH AND SOUTH TYRONE,MID ULSTER,Urban,293,99,33.80%,217,74.1,41,14,35,11.9,26,293,8.90%
5210271,Lurgan Junior High,TOBERHEWNY LANE LOWER,LURGAN,BT668SU,Secondary,Controlled,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,650,157,24.20%,452,69.5,26,4,172,26.5,49,650,7.50%
5210282,Craigavon Senior High School,26-34 LURGAN ROAD,CRAIGAVON,BT635HJ,Secondary,Controlled,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,577,204,35.40%,406,70.4,22,3.8,149,25.8,58,577,10.10%
5230056,"St Joseph's Boys' High School, Newry",20 ARMAGH ROAD,NEWRY,BT356DH,Secondary,Catholic Maintained,NEWRY AND ARMAGH,NEWRY MOURNE AND DOWN,Urban,352,171,48.60%,*,*,342,97.2,#,#,52,352,14.80%
5230059,St Columban's College,127 NEWCASTLE ROAD,NEWRY,BT344NL,Secondary,Catholic Maintained,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban,148,70,47.30%,*,*,#,#,*,*,*,148,*
5230076,"St Patrick's College, Banbridge",38 SCARVA ROAD,BANBRIDGE,BT323AS,Secondary,Catholic Maintained,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,325,115,35.40%,5,1.5,308,94.8,12,3.7,15,325,4.60%
5230108,"St Mary's High School, Newry",UPPER CHAPEL STREET,NEWRY,BT342DT,Secondary,Catholic Maintained,NEWRY AND ARMAGH,NEWRY MOURNE AND DOWN,Urban,569,265,46.60%,*,*,564,99.1,*,*,29,569,5.10%
5230135,St Mark's High School,UPPER DROMORE ROAD,NEWRY,BT343PN,Secondary,Catholic Maintained,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban,811,311,38.30%,7,0.9,789,97.3,15,1.8,38,811,4.70%
5230152,St Ciaran's High School,15 TULLYBRYAN ROAD,DUNGANNON,BT702LY,Secondary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,MID ULSTER,Rural,789,218,27.60%,*,*,781,99,#,#,39,789,4.90%
5230157,"St Paul's High School, Bessbrook",108 CAMLOUGH ROAD,NEWRY,BT357EE,Secondary,Catholic Maintained,NEWRY AND ARMAGH,NEWRY MOURNE AND DOWN,Rural,1567,644,41.10%,0,0,1547,98.7,20,1.3,24,1567,1.50%
5230167,"St Joseph's High School, Crossmaglen",77 DUNDALK ROAD,NEWRY,BT359HL,Secondary,Catholic Maintained,NEWRY AND ARMAGH,NEWRY MOURNE AND DOWN,Rural,599,299,49.90%,0,0,594,99.2,5,0.8,6,599,1.00%
5230187,"St Patrick's High School, Keady",MIDDLETOWN ROAD,KEADY,BT603TH,Secondary,Catholic Maintained,NEWRY AND ARMAGH,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Rural,1037,362,34.90%,*,*,#,#,*,*,31,1037,3.00%
5230192,"St Joseph's College, Coalisland",29 SCHOOL LANE,DUNGANNON,BT714NW,Secondary,Catholic Maintained,MID ULSTER,MID ULSTER,Urban,336,187,55.70%,*,*,323,96.1,#,#,13,336,3.90%
5230213,Lismore Comprehensive School,DRUMGASK,CRAIGAVON,BT655DU,Secondary,Catholic Maintained,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,1175,495,42.10%,*,*,1121,95.4,#,#,54,1175,4.60%
5230218,St Catherine's College,2A CONVENT ROAD,ARMAGH,BT604BG,Secondary,Catholic Maintained,NEWRY AND ARMAGH,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,1139,362,31.80%,6,0.5,1110,97.5,23,2,90,1139,7.90%
5230256,Drumcree College,4 MOY ROAD,PORTADOWN,BT621QL,Secondary,Catholic Maintained,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,152,88,57.90%,*,*,146,96.1,*,*,52,152,34.20%
5230278,Holy Trinity College,CHAPEL STREET,COOKSTOWN,BT808QB,Secondary,Catholic Maintained,MID ULSTER,MID ULSTER,Urban,1017,480,47.20%,*,*,1008,99.1,#,#,51,1017,5.00%
5230293,"St Patrick's College, Dungannon",41 KILLYMEAL ROAD,DUNGANNON,BT716LJ,Secondary,Catholic Maintained,FERMANAGH AND SOUTH TYRONE,MID ULSTER,Urban,597,239,40.00%,*,*,579,97,#,#,118,597,19.80%
5250216,Brownlow Int College,TULLYGALLY ROAD,CRAIGAVON,BT655BS,Secondary,Controlled Integrated,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,259,138,53.30%,51,19.7,154,59.5,54,20.8,43,259,16.60%
5260285,New-Bridge Integrated College,25 DONARD VIEW ROAD,BANBRIDGE,BT323LN,Secondary,GMI,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Rural,612,166,27.10%,245,40,305,49.8,62,10.1,*,612,*
5260286,Integrated College Dungannon,21 GORTMERRON LINK ROAD,DUNGANNON,BT716LS,Secondary,GMI,FERMANAGH AND SOUTH TYRONE,MID ULSTER,Urban,577,213,36.90%,134,23.2,353,61.2,90,15.6,95,577,16.50%
5410013,Banbridge Academy,LURGAN ROAD,BANBRIDGE,BT324AQ,Grammar,Controlled,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,1312,83,6.30%,986,75.2,181,13.8,145,11.1,0,1312,0.00%
5410057,Lurgan College,9 COLLEGE WALK,CRAIGAVON,BT666JW,Grammar,Controlled,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,451,41,9.10%,371,82.3,11,2.4,69,15.3,6,451,1.30%
5410067,Portadown College,4 KILLYCOMAINE ROAD,CRAIGAVON,BT635BU,Grammar,Controlled,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,778,73,9.40%,676,86.9,18,2.3,84,10.8,0,778,0.00%
5420045,"St Louis Grammar School, Kilkeel",151 NEWRY ROAD,KILKEEL,BT344EU,Grammar,Voluntary,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban,564,131,23.20%,*,*,544,96.5,#,#,0,564,0.00%
5420059,Abbey Christian Brothers Grammar School,77A ASHGROVE ROAD,NEWRY,BT342QN,Grammar,Voluntary,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban,882,149,16.90%,*,*,864,98,#,#,*,882,*
5420060,Our Lady's Grammar School,CHEQUER HILL,NEWRY,BT356DY,Grammar,Voluntary,NEWRY AND ARMAGH,NEWRY MOURNE AND DOWN,Urban,854,124,14.50%,*,*,835,97.8,#,#,0,854,0.00%
5420062,"St Colman's College, Newry",46 ARMAGH ROAD,NEWRY,BT356PP,Grammar,Voluntary,NEWRY AND ARMAGH,NEWRY MOURNE AND DOWN,Urban,903,140,15.50%,*,*,898,99.4,*,*,*,903,*
5420073,"St Joseph's Convent Grammar School, Donaghmore",58 CASTLECAULFIELD ROAD,DUNGANNON,BT703HE,Grammar,Voluntary,MID ULSTER,MID ULSTER,Rural,709,195,27.50%,*,*,704,99.3,*,*,0,709,0.00%
5420076,"Sacred Heart Grammar School, Newry",10 ASHGROVE AVENUE,NEWRY,BT341PR,Grammar,Voluntary,SOUTH DOWN,NEWRY MOURNE AND DOWN,Urban,852,130,15.30%,*,*,844,99.1,#,#,0,852,0.00%
5420260,"The Royal School, Dungannon",2 RANFURLEY ROAD,DUNGANNON,BT716AP,Grammar,Voluntary,FERMANAGH AND SOUTH TYRONE,MID ULSTER,Urban,652,62,9.50%,518,79.4,11,1.7,123,18.9,*,652,*
5420263,"The Royal School, Armagh",COLLEGE HILL,ARMAGH,BT619DH,Grammar,Voluntary,NEWRY AND ARMAGH,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,724,51,7.00%,563,77.8,54,7.5,107,14.8,0,724,0.00%
5420268,"St Patrick's Grammar School, Armagh",CATHEDRAL ROAD,ARMAGH,BT617QZ,Grammar,Voluntary,NEWRY AND ARMAGH,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,975,255,26.20%,0,0,960,98.5,15,1.5,15,975,1.50%
5420304,"St Patrick's Academy, Dungannon",37 KILLYMEAL ROAD,DUNGANNON,BT716DS,Grammar,Voluntary,FERMANAGH AND SOUTH TYRONE,MID ULSTER,Urban,1338,227,17.00%,*,*,1322,98.8,#,#,0,1338,0.00%
5420314,St Ronan?s College,12 CORNAKINEGAR ROAD,LURGAN,BT679JW,Grammar,Voluntary,UPPER BANN,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",Urban,1398,367,26.30%,13,0.9,1360,97.3,25,1.8,65,1398,4.60%
